"Forecast","Section","Field","Index","TTime","Direction","LowSpeed","HighSpeed","Mainly","Occasionally","ForaTime","Gusts","Showers","ChangeAdv","ChangeVerb","EllidedVerb","TimePhrase","Connective","StartPos","GustSpeed"
"10Apr2002_14.prn","2","wind10M",1,24,247.50,10,15,0,0,0,0,0,,"veering",0,"by midnight",,3,
"10Apr2002_14.prn","2","wind10M",2,6,180.00,8,12,0,0,0,0,0,,"backing",0,"by morning",", then",9,
"10Apr2002_14.prn","3","wind10M",0,6,180.00,8,12,0,0,0,0,0,,,0,,,0,
"10Apr2002_14.prn","3","wind10M",1,12,180.00,10,15,0,0,0,0,0,,"freshening",0,"by midday",,3,
"10Apr2002_14.prn","3","wind10M",2,18,247.50,8,12,0,0,0,0,0,,"veering",0,"by evening",", then",8,
"10Apr2002_14.prn","3","wind10M",3,24,315.00,12,16,0,0,0,0,0,,"veering",1,"later",", and",15,
"10Apr2002_14.prn","4","wind10M",0,0,315.00,12,16,0,0,0,0,0,,,0,,,0,
"10Apr2002_14.prn","4","wind10M",1,12,0.00,14,18,0,0,0,1,0,,"veering",0,"by midday",,3,28
"10Apr2002_14.prn","4","wind10M",2,24,0.00,6,10,0,0,0,0,0,,"decreasing",0,"by midnight",", then",11,
"10Aug2000_02.prn","2","wind10M",0,6,112.50,18,22,0,0,0,0,0,,,0,,,0,
"10Aug2000_02.prn","2","wind10M",1,24,22.50,15,20,0,0,0,0,0,"gradually","backing easing",0,,,4,
"10Aug2000_02.prn","3","wind10M",0,0,22.50,15,20,0,0,0,0,0,,,0,,,0,
"10Aug2000_02.prn","3","wind10M",1,12,315.00,6,10,0,0,0,0,0,,"backing",0,"by midday",,3,
"10Aug2000_02.prn","3","wind10M",2,24,247.50,0,8,0,0,0,0,0,,"backing",1,"by midnight",", then",9,
"10Aug2000_02.prn","4","wind10M",0,0,247.50,0,8,0,0,0,0,0,,,0,,,0,
"10Aug2000_02.prn","4","wind10M",1,12,157.50,6,10,0,0,0,0,0,,"backing",0,"by afternoon",,5,
"10Aug2000_13.prn","2","wind10M",0,15,112.50,12,18,0,0,0,0,0,,,0,,,0,
"10Aug2000_13.prn","2","wind10M",1,6,22.50,0,8,0,0,0,0,0,,"easing and backing",0,,,4,
"10Aug2000_13.prn","3","wind10M",0,6,22.50,0,8,0,0,0,0,0,,,0,,,0,
"10Aug2000_13.prn","3","wind10M",1,24,202.50,0,8,0,0,0,0,0,"gradually","backing",0,,,5,
"10Aug2000_13.prn","4","wind10M",0,0,202.50,0,8,0,0,0,0,0,,,0,,,0,
"10Aug2000_13.prn","4","wind10M",1,18,168.75,12,16,0,0,0,0,0,,"increasing",0,"by evening",,5,
"10Aug2001_13.prn","2","wind10M",0,15,303.75,12,15,0,0,0,0,0,,,0,,,0,
"10Aug2001_13.prn","2","wind10M",1,24,270.00,5,10,0,0,0,0,0,,"backing",0,"by midnight",,4,
"10Aug2001_13.prn","2","wind10M",2,6,213.75,5,10,0,0,0,0,0,,"backing",1,"by morning",", then",10,
"10Aug2001_13.prn","3","wind10M",0,6,202.50,5,10,0,0,0,0,0,,,0,,,0,
"10Aug2001_13.prn","3","wind10M",1,24,180.00,26,30,0,0,0,1,0,,"backing and increasing",0,"by end of period",,3,38
"10Aug2001_13.prn","4","wind10M",0,0,180.00,26,30,0,0,0,1,0,,,0,,,0,38
"10Aug2001_13.prn","4","wind10M",1,12,247.50,24,28,0,0,0,0,0,,"veering",0,"by late morning",,5,
"10Aug2001_13.prn","4","wind10M",2,24,225.00,18,22,0,0,0,0,0,,"decreasing backing",0,"later",",",12,
"10Dec2001_02.prn","2","wind10M",0,6,225.00,10,14,0,0,0,0,0,,,0,,,0,
"10Dec2001_02.prn","2","wind10M",1,12,225.00,8,12,0,0,0,0,0,,"easing",0,"by midday",,3,
"10Dec2001_02.prn","3","wind10M",0,0,225.00,8,12,0,0,0,0,0,,,0,,,0,
"10Dec2001_02.prn","3","wind10M",1,21,225.00,10,14,0,0,0,0,0,,"increasing",0,"in evening",,3,
"10Dec2001_02.prn","4","wind10M",0,0,225.00,10,14,0,0,0,0,0,,,0,,,0,
"10Dec2001_02.prn","4","wind10M",1,15,270.00,12,16,0,0,0,0,0,,"veering",0,"by mid afternoon",,3,
"10Dec2001_13.prn","2","wind10M",0,15,247.50,0,8,0,0,0,0,0,,,0,,,0,
"10Dec2001_13.prn","3","wind10M",0,6,247.50,0,8,0,0,0,0,0,,,0,,,0,
"10Dec2001_13.prn","4","wind10M",0,0,247.50,0,8,0,0,0,0,0,,,0,,,0,
"10Dec2001_13.prn","4","wind10M",1,24,292.50,0,8,0,0,0,0,0,,"veering",0,,,5,
"10Feb2002_04.prn","2","wind10M",0,6,292.50,22,28,0,0,0,1,0,,,0,,,0,38
"10Feb2002_04.prn","2","wind10M",1,12,315.00,22,28,0,0,0,1,0,,"veering",0,"by midday",,5,38
"10Feb2002_04.prn","2","wind10M",2,21,270.00,18,22,0,0,0,0,0,,"backing and decreasing",0,"by mid evening",", then",9,
"10Feb2002_04.prn","3","wind10M",0,0,270.00,18,22,0,0,0,0,0,,,0,,,0,
"10Feb2002_04.prn","3","wind10M",1,6,247.50,10,14,0,0,0,0,0,,"backing",0,"soon",,3,
"10Feb2002_04.prn","3","wind10M",2,12,315.00,8,12,0,0,0,0,0,,"veering",0,"by afternoon",",",8,
"10Feb2002_04.prn","3","wind10M",3,24,0.00,12,18,0,0,0,0,0,,"veering",1,"by end of period",", and",14,
"10Feb2002_04.prn","4","wind10M",0,0,0.00,12,18,0,0,0,0,0,,,0,,,0,
"10Feb2002_04.prn","4","wind10M",1,24,45.00,12,18,0,0,0,0,0,"gradually","veering",0,,,3,
"10Feb2002_13.prn","2","wind10M",0,15,337.50,10,15,0,0,0,0,0,,,0,,,0,
"10Feb2002_13.prn","2","wind10M",1,6,180.00,0,10,0,0,0,0,0,,"easing and backing",0,,,4,
"10Feb2002_13.prn","3","wind10M",0,6,180.00,0,10,0,0,0,0,0,,,0,,,0,
"10Feb2002_13.prn","3","wind10M",1,9,0.00,0,10,0,0,0,0,0,,"backing",0,"very soon",,4,
"10Feb2002_13.prn","3","wind10M",2,24,0.00,10,15,0,0,0,0,0,,"backing",1,"later",".",8,
"10Feb2002_13.prn","4","wind10M",0,0,0.00,10,15,0,0,0,0,0,,,0,,,0,
"10Feb2002_13.prn","4","wind10M",1,24,67.50,15,20,0,0,0,0,0,"steadily","rising",0,,,3,
"10Jan2001_02.prn","2","wind10M",0,6,337.50,14,18,0,0,0,0,0,,,0,,,0,
"10Jan2001_02.prn","2","wind10M",1,24,315.00,16,20,0,0,0,0,0,,"backing",0,"by late evening",,3,
"10Jan2001_02.prn","3","wind10M",0,0,315.00,16,20,0,0,0,0,0,,,0,,,0,
"10Jan2001_02.prn","3","wind10M",1,24,315.00,10,14,0,0,0,0,0,,"decreasing",0,"by late evening",,3,
"10Jan2001_02.prn","4","wind10M",0,0,315.00,10,14,0,0,0,0,0,,,0,,,0,
"10Jan2001_02.prn","4","wind10M",1,3,270.00,8,12,0,0,0,0,0,,,0,"soon",,3,
"10Jan2001_02.prn","4","wind10M",2,18,225.00,20,24,0,0,0,0,0,,"backing",0,"by evening","then",7,
"10Jan2001_12.prn","2","wind10M",0,15,337.50,12,18,0,0,0,0,0,,,0,,,0,
"10Jan2001_12.prn","2","wind10M",1,24,315.00,16,20,0,0,0,0,0,,"backing",0,"by midnight",,3,
"10Jan2001_12.prn","3","wind10M",0,6,315.00,16,20,0,0,0,0,0,,,0,,,0,
"10Jan2001_12.prn","3","wind10M",1,15,315.00,18,22,0,0,0,0,0,,"freshening",0,"by mid afternoon",,3,
"10Jan2001_12.prn","3","wind10M",2,24,315.00,12,18,0,0,0,0,0,,"decreasing",0,"later",", then",9,
"10Jan2001_12.prn","4","wind10M",0,0,315.00,12,18,0,0,0,0,0,,,0,,,0,
"10Jan2001_12.prn","4","wind10M",1,12,247.50,10,15,0,0,0,0,0,,"backing",0,"by late morning",,3,
"10Jan2001_12.prn","4","wind10M",2,24,225.00,18,22,0,0,0,0,0,,"freshening",0,"by midnight",", then",10,
"10Jan2002_03.prn","2","wind10M",0,6,225.00,22,28,0,0,0,0,0,,,0,,,0,
"10Jan2002_03.prn","2","wind10M",1,12,202.50,28,32,0,0,0,1,0,,"backing",0,"by midday",,3,45
"10Jan2002_03.prn","3","wind10M",0,0,202.50,28,32,0,0,0,0,0,,,0,,,0,
"10Jan2002_03.prn","3","wind10M",1,18,202.50,32,38,0,0,0,1,0,,"increasing",0,"early evening",,3,48
"10Jan2002_03.prn","3","wind10M",2,24,202.50,24,28,0,0,0,0,0,,"decreasing",0,"later",", then",10,
"10Jan2002_03.prn","4","wind10M",0,0,202.50,24,28,0,0,0,0,0,,,0,,,0,
"10Jan2002_03.prn","4","wind10M",1,6,292.50,8,12,0,0,0,0,0,,"veering",0,"soon",,3,
"10Jan2002_03.prn","4","wind10M",2,12,45.00,0,8,0,0,0,0,0,,"veering",1,"by midday",", and",8,
"10Jan2002_03.prn","4","wind10M",3,24,180.00,18,22,0,0,0,0,0,,"freshening",0,"by midnight",", then",15,
"10Jan2002_14.prn","2","wind10M",0,15,202.50,26,32,0,0,0,1,0,,,0,,,0,45
"10Jan2002_14.prn","3","wind10M",0,6,202.50,26,32,0,0,0,1,0,,,0,,,0,45
"10Jan2002_14.prn","3","wind10M",1,21,202.50,35,40,0,0,1,1,0,,"increasing",0,"during evening",,6,50
"10Jan2002_14.prn","4","wind10M",0,0,202.50,26,32,0,0,0,0,0,,,0,,,0,
"10Jan2002_14.prn","4","wind10M",1,-99,202.50,20,25,0,0,1,0,0,,"easing",0,,,4,
"10Jul2000.prn","2","wind10M",0,6,45.00,18,22,0,0,0,0,0,,,0,,,0,
"10Jul2000.prn","2","wind10M",1,24,22.50,28,32,0,0,0,1,0,"steadily","rising",0,,,3,42
"10Jul2000.prn","3","wind10M",0,0,22.50,28,32,0,0,0,1,0,,,0,,,0,42
"10Jul2000.prn","3","wind10M",1,24,0.00,22,28,0,0,0,0,0,,"backing and easing",0,"later",,6,
"10Jul2000.prn","4","wind10M",0,0,0.00,22,28,0,0,0,0,0,,,0,,,0,
"10Jul2000.prn","4","wind10M",1,24,270.00,0,10,0,0,0,0,0,,"falling",0,"by end of period",,3,
"10Jul2001_03.prn","2","wind10M",0,6,135.00,6,10,0,0,0,0,0,,,0,,,0,
"10Jul2001_03.prn","2","wind10M",1,24,67.50,18,22,0,0,0,0,0,"gradually","backing",0,"by late evening",,3,
"10Jul2001_03.prn","3","wind10M",0,0,67.50,20,24,0,0,0,0,0,,,0,,,0,
"10Jul2001_03.prn","3","wind10M",1,3,67.50,20,24,0,0,0,0,0,,,0,"soon",,1,
"10Jul2001_03.prn","3","wind10M",2,18,45.00,8,12,0,0,0,0,0,,"backing",0,"by late afternoon",,4,
"10Jul2001_03.prn","4","wind10M",0,0,45.00,8,12,0,0,0,0,0,,,0,,,0,
"10Jul2001_03.prn","4","wind10M",1,12,0.00,8,12,0,0,0,0,0,,"backing",0,"by afternoon",,3,
"10Jul2001_15.prn","2","wind10M",0,15,112.50,10,15,0,0,0,0,0,,,0,,,0,
"10Jul2001_15.prn","2","wind10M",1,24,67.50,18,22,0,0,0,0,0,,"backing freshening",0,"by midnight",,4,
"10Jul2001_15.prn","3","wind10M",0,6,67.50,18,22,0,0,0,0,0,,,0,,,0,
"10Jul2001_15.prn","3","wind10M",1,12,45.00,12,18,0,0,0,0,0,,"veering",0,"by early afternoon",,4,
"10Jul2001_15.prn","3","wind10M",2,24,45.00,6,10,0,0,0,0,0,,"decreasing",0,"by late evening",", then",11,
"10Jul2001_15.prn","4","wind10M",0,0,45.00,6,10,0,0,0,0,0,,,0,,,0,
"10Jul2001_15.prn","4","wind10M",1,12,45.00,0,8,0,0,0,0,0,,"decreasing",0,"by late morning",,3,
"10Jul2001_15.prn","4","wind10M",2,24,22.50,8,12,0,0,0,0,0,,"backing",0,"later",",",10,
"10Mar2001_03.prn","2","wind10M",0,6,202.50,12,18,0,0,0,0,0,,,0,,,0,
"10Mar2001_03.prn","2","wind10M",1,24,157.50,12,18,0,0,0,0,0,,"backing",0,,",",4,
"10Mar2001_03.prn","3","wind10M",0,0,157.50,12,18,0,0,0,0,0,,,0,,,0,
"10Mar2001_03.prn","3","wind10M",1,15,292.50,12,18,0,0,0,0,0,,"veering",0,"during afternoon",,4,
"10Mar2001_03.prn","3","wind10M",2,24,337.50,8,12,0,0,0,0,0,,"easing",0,"later",",",10,
"10Mar2001_03.prn","4","wind10M",0,0,337.50,8,12,0,0,0,0,0,,,0,,,0,
"10Mar2001_03.prn","4","wind10M",1,24,67.50,15,20,0,0,0,0,0,"gradually","increasing",0,,,4,
"10Mar2001_15.prn","2","wind10M",0,15,202.50,10,14,0,0,0,0,0,,,0,,,0,
"10Mar2001_15.prn","2","wind10M",1,24,157.50,14,18,0,0,0,0,0,,"backing",0,"tonight",,3,
"10Mar2001_15.prn","3","wind10M",0,6,157.50,14,18,0,0,0,0,0,,,0,,,0,
"10Mar2001_15.prn","3","wind10M",1,12,270.00,14,18,0,0,0,0,0,,"veering",0,"around midday",,3,
"10Mar2001_15.prn","3","wind10M",2,21,270.00,10,14,0,0,0,0,0,,"easing",0,"in evening","then",7,
"10Mar2001_15.prn","4","wind10M",0,0,270.00,10,14,0,0,0,0,0,,,0,,,0,
"10Mar2001_15.prn","4","wind10M",1,3,-99.00,0,10,0,0,0,0,0,,"becoming",0,"soon",,3,
"10Mar2001_15.prn","4","wind10M",2,24,337.50,0,10,1,0,0,0,0,,"becoming",0,"later",",",9,
"10Mar2002_04.prn","2","wind10M",0,6,303.75,12,18,0,0,0,0,0,,,0,,,0,
"10Mar2002_04.prn","2","wind10M",1,12,-99.00,0,8,0,0,0,0,0,,"decreasing",0,"by midday",,4,
"10Mar2002_04.prn","2","wind10M",2,21,-99.00,28,32,0,0,0,1,0,"steadily","increasing",0,"by mid evening",", then",11,42
"10Mar2002_04.prn","2","wind10M",3,24,-99.00,20,25,0,0,0,0,0,,"decreasing",0,"later",",",21,
"10Mar2002_04.prn","3","wind10M",0,0,112.50,20,25,0,0,0,0,0,,,0,,,0,
"10Mar2002_04.prn","3","wind10M",1,6,180.00,14,18,0,0,0,0,0,,"veering",0,"soon",,3,
"10Mar2002_04.prn","3","wind10M",2,12,202.50,25,30,0,0,0,0,0,,"veering",1,"by midday",", and",8,
"10Mar2002_04.prn","3","wind10M",3,24,157.50,30,35,0,0,0,1,0,,"backing",0,"by midnight",", then",14,45
"10Mar2002_04.prn","4","wind10M",0,0,157.50,30,35,0,0,0,0,0,,,0,,,0,
"10Mar2002_04.prn","4","wind10M",1,6,135.00,32,38,0,0,0,1,0,,"backing",0,"soon",,3,50
"10Mar2002_04.prn","4","wind10M",2,15,22.50,20,25,0,0,0,0,0,,"backing",1,"by mid afternoon",", and",10,
"10Mar2002_04.prn","4","wind10M",3,24,0.00,25,30,0,0,0,1,0,,"backing",1,"by midnight",", then",17,40
"10Mar2002_13.prn","2","wind10M",0,15,112.50,18,22,0,0,0,0,0,,,0,,,0,
"10Mar2002_13.prn","2","wind10M",1,18,90.00,30,35,0,0,0,1,0,,"rising",0,"soon",,4,45
"10Mar2002_13.prn","2","wind10M",2,24,225.00,12,18,0,0,0,0,0,,"veering",0,"around midnight","then",13,
"10Mar2002_13.prn","2","wind10M",3,6,225.00,20,25,0,0,0,0,0,,"veering",1,"later",".",21,
"10Mar2002_13.prn","3","wind10M",0,6,225.00,20,25,0,0,0,0,0,,,0,,,0,
"10Mar2002_13.prn","3","wind10M",1,24,157.50,10,15,0,0,0,0,0,"slowly","backing",0,,,3,
"10Mar2002_13.prn","4","wind10M",0,0,157.50,10,15,0,0,0,0,0,,,0,,,0,
"10Mar2002_13.prn","4","wind10M",1,24,22.50,22,28,0,0,0,1,0,,"backing",0,"by end of period",,4,40
"10May2001_02.prn","2","wind10M",0,6,45.00,8,12,0,0,0,0,0,,,0,,,0,
"10May2001_02.prn","2","wind10M",1,18,45.00,10,14,0,0,0,0,0,,"increasing",0,"by late afternoon",,3,
"10May2001_02.prn","3","wind10M",0,0,45.00,10,14,0,0,0,0,0,,,0,,,0,
"10May2001_02.prn","3","wind10M",1,24,67.50,4,8,0,0,0,0,0,,"veering",0,"by late evening",,3,
"10May2001_02.prn","4","wind10M",0,0,67.50,4,8,0,0,0,0,0,,,0,,,0,
"10May2001_02.prn","4","wind10M",1,18,22.50,2,6,0,0,0,0,0,"gradually","backing",0,"by evening",,3,
"10May2001_13.prn","2","wind10M",0,15,45.00,12,18,0,0,0,0,0,,,0,,,0,
"10May2001_13.prn","2","wind10M",1,6,45.00,10,15,0,0,0,0,0,"gradually","easing",0,,,3,
"10May2001_13.prn","3","wind10M",0,6,45.00,10,15,0,0,0,0,0,,,0,,,0,
"10May2001_13.prn","3","wind10M",1,24,45.00,5,10,0,0,0,0,0,,"easing",0,"by end of period",,3,
"10May2001_13.prn","4","wind10M",0,0,45.00,5,10,0,0,0,0,0,,,0,,,0,
"10May2001_13.prn","4","wind10M",1,6,45.00,0,8,0,0,0,0,0,,"decreasing",0,"soon",,3,
"10May2001_13.prn","4","wind10M",2,24,22.50,0,8,0,0,0,0,0,,"backing",0,"later",",",8,
"10May2002_03.prn","2","wind10M",0,6,157.50,8,12,0,0,0,0,0,,,0,,,0,
"10May2002_03.prn","2","wind10M",1,18,157.50,18,22,0,0,0,0,0,,"increasing",0,"by evening",,3,
"10May2002_03.prn","3","wind10M",0,0,157.50,20,24,0,0,0,0,0,,,0,,,0,
"10May2002_03.prn","3","wind10M",1,3,157.50,20,24,0,0,0,0,0,,,0,"soon",,1,
"10May2002_03.prn","3","wind10M",2,15,202.50,12,16,0,0,0,0,0,,"veering",0,"by mid afternoon","then",4,
"10May2002_03.prn","3","wind10M",3,24,202.50,16,20,0,0,0,0,0,,"increasing",0,"late evening",",",12,
"10May2002_03.prn","4","wind10M",0,0,191.25,16,20,0,0,0,0,0,,,0,,,0,
"10May2002_03.prn","4","wind10M",1,12,191.25,24,28,0,0,0,0,0,,"increasing",0,"by midday",,4,
"10Nov2000_02.prn","2","wind10M",0,6,337.50,6,10,0,0,0,0,0,,,0,,,0,
"10Nov2000_02.prn","2","wind10M",1,18,90.00,2,6,0,0,0,0,0,"gradually","veering",0,"by evening",,3,
"10Nov2000_02.prn","3","wind10M",0,0,90.00,2,6,0,0,0,0,0,,,0,,,0,
"10Nov2000_02.prn","3","wind10M",1,12,135.00,28,32,0,0,0,0,0,,"veering",0,"by midday",,3,
"10Nov2000_02.prn","3","wind10M",2,24,157.50,14,18,0,0,0,0,0,,"veering",1,"later",",",9,
"10Nov2000_02.prn","4","wind10M",0,0,157.50,14,18,0,0,0,0,0,,,0,,,0,
"10Nov2000_02.prn","4","wind10M",1,-99,112.50,10,14,0,0,0,0,0,,"backing",0,,,3,
"10Nov2000_02.prn","4","wind10M",2,12,33.75,16,20,0,0,0,0,0,,"backing",1,"by afternoon","then",7,
"10Nov2000_16.prn","2","wind10M",0,15,0.00,0,10,0,0,0,0,0,,,0,,,0,
"10Nov2000_16.prn","2","wind10M",1,6,135.00,20,24,0,0,0,0,0,,"veering and rising",0,"late in period",,4,
"10Nov2000_16.prn","3","wind10M",0,6,135.00,20,24,0,0,0,0,0,,,0,,,0,
"10Nov2000_16.prn","3","wind10M",1,12,135.00,28,32,0,0,0,0,0,,"rising",0,"by midday",,3,
"10Nov2000_16.prn","3","wind10M",2,15,157.50,28,32,0,0,0,0,0,,"veering",0,"in afternoon","then",8,
"10Nov2000_16.prn","3","wind10M",3,24,157.50,10,14,0,0,0,0,0,,"easing",0,"later","and",14,
"10Nov2000_16.prn","4","wind10M",0,0,157.50,10,14,0,0,0,0,0,,,0,,,0,
"10Nov2000_16.prn","4","wind10M",1,24,90.00,10,14,0,0,0,0,0,"slowly","backing",0,,,3,
"10Nov2001_02.prn","2","wind10M",0,6,247.50,28,32,0,0,0,1,0,,,0,,,0,40
"10Nov2001_02.prn","2","wind10M",1,18,270.00,40,45,0,0,0,1,0,,"veering",0,"by evening",,5,60
"10Nov2001_02.prn","3","wind10M",0,3,292.50,44,48,0,0,0,1,0,,,0,"soon",,0,65
"10Nov2001_02.prn","3","wind10M",1,24,315.00,22,26,0,0,0,1,0,"gradually","veering",0,"by late evening","then",6,36
"10Nov2001_02.prn","4","wind10M",0,0,315.00,22,26,0,0,0,1,0,,,0,,,0,36
"10Nov2001_02.prn","4","wind10M",1,3,337.50,22,26,0,0,0,1,0,,"veering",0,"soon",,5,36
"10Nov2001_14.prn","2","wind10M",0,15,292.50,30,35,0,0,0,0,0,,,0,,,0,
"10Nov2001_14.prn","2","wind10M",1,6,292.50,38,42,0,0,0,1,0,"gradually","increasing",0,,,4,55
"10Nov2001_14.prn","3","wind10M",0,6,292.50,38,42,0,0,0,1,0,,,0,,,0,55
"10Nov2001_14.prn","3","wind10M",1,24,315.00,22,28,0,0,0,0,0,"gradually","easing",0,,,6,
"10Nov2001_14.prn","4","wind10M",0,0,315.00,22,28,0,0,0,1,0,,,0,,,0,40
"10Nov2001_14.prn","4","wind10M",1,24,337.50,22,28,0,0,0,1,0,"gradually","veering",0,,,5,40
"10Oct2000_02.prn","2","wind10M",0,6,112.50,14,18,0,0,0,0,0,,,0,,,0,
"10Oct2000_02.prn","2","wind10M",1,24,90.00,26,30,0,0,0,1,0,"gradually","increasing",0,"by midnight",,3,40
"10Oct2000_02.prn","3","wind10M",0,0,90.00,26,30,0,0,0,0,0,,,0,,,0,
"10Oct2000_02.prn","3","wind10M",1,6,90.00,30,35,0,0,0,1,0,,"increasing",0,"soon",,3,45
"10Oct2000_02.prn","3","wind10M",2,12,112.50,15,20,0,0,0,0,0,,"veering",0,"by midday",",",9,
"10Oct2000_02.prn","3","wind10M",3,24,67.50,20,25,0,0,0,0,0,,"backing",0,"later",", then",16,
"10Oct2000_02.prn","4","wind10M",0,0,67.50,20,25,0,0,0,0,0,,,0,,,0,
"10Oct2000_02.prn","4","wind10M",1,12,135.00,8,12,0,0,0,0,0,,"veering",0,"by midday",,4,
"10Oct2000_02.prn","4","wind10M",2,24,0.00,0,8,0,0,0,0,0,,"becoming",0,"later",",",10,
"10Oct2000_16.prn","2","wind10M",0,15,67.50,16,20,0,0,0,0,0,,,0,,,0,
"10Oct2000_16.prn","2","wind10M",1,24,90.00,30,34,0,0,0,0,0,,"veering and rising",0,"tonight",,3,
"10Oct2000_16.prn","3","wind10M",0,6,90.00,30,34,0,0,0,0,0,,,0,,,0,
"10Oct2000_16.prn","3","wind10M",1,9,112.50,18,22,0,0,0,0,0,,"veering",0,"in morning",,3,
"10Oct2000_16.prn","3","wind10M",2,21,45.00,32,36,0,0,0,0,0,,"backing and rising",0,"in evening","then",10,
"10Oct2000_16.prn","4","wind10M",0,0,45.00,32,36,0,0,0,0,0,,,0,,,0,
"10Oct2000_16.prn","4","wind10M",1,3,135.00,18,22,0,0,0,0,0,,"veering",0,"soon",,3,
"10Oct2000_16.prn","4","wind10M",2,18,135.00,14,18,0,0,0,0,0,,"easing",0,"by evening","then",8,
"10Oct2001_05.prn","2","wind10M",0,6,202.50,25,30,0,0,0,0,0,,,0,,,0,
"10Oct2001_05.prn","2","wind10M",1,9,247.50,18,22,0,0,0,0,0,"gradually","veering and easing",0,"soon",,4,
"10Oct2001_05.prn","3","wind10M",0,0,247.50,18,22,0,0,0,0,0,,,0,,,0,
"10Oct2001_05.prn","3","wind10M",1,18,202.50,18,22,0,0,0,0,0,,"backing and increasing",0,"by evening",,4,
"10Oct2001_05.prn","3","wind10M",2,24,225.00,38,42,0,0,0,0,0,,"veering",0,"later",",",13,
"10Oct2001_05.prn","4","wind10M",0,0,225.00,38,42,0,0,0,0,0,,,0,,,0,
"10Oct2001_05.prn","4","wind10M",1,9,247.50,25,30,0,0,0,0,0,,"veering and easing",0,"during morning",",",3,
"10Oct2001_05.prn","4","wind10M",2,12,247.50,15,20,0,0,0,0,0,,"easing",0,"by afternoon",",",13,
"10Oct2001_05.prn","4","wind10M",3,24,225.00,22,28,0,0,0,0,0,,"increasing",0,"later",",",18,
"10Oct2001_14.prn","2","wind10M",0,15,292.50,22,28,0,0,0,1,0,,,0,,,0,38
"10Oct2001_14.prn","2","wind10M",1,6,225.00,18,22,0,0,0,0,0,"steadily","backing",0,,,8,
"10Oct2001_14.prn","3","wind10M",0,6,225.00,18,22,0,0,0,0,0,,,0,,,0,
"10Oct2001_14.prn","3","wind10M",1,12,157.50,25,30,0,0,0,0,0,,"backing",0,"by early afternoon",,3,
"10Oct2001_14.prn","3","wind10M",2,-99,202.50,28,32,0,0,0,0,0,,"veering",0,,"then",11,
"10Oct2001_14.prn","3","wind10M",3,24,247.50,20,25,0,0,0,0,0,,"veering",0,"later",".",17,
"10Oct2001_14.prn","4","wind10M",0,0,247.50,20,25,0,0,0,0,0,,,0,,,0,
"10Oct2001_14.prn","4","wind10M",1,9,247.50,15,20,0,0,1,0,0,,"easing",0,"in morning",,4,
"10Oct2001_14.prn","4","wind10M",2,24,225.00,20,25,0,0,0,0,0,,"backing",0,"later",".",13,
"10Sep2000_02.prn","2","wind10M",0,6,292.50,14,18,0,0,0,0,0,,,0,,,0,
"10Sep2000_02.prn","2","wind10M",1,24,315.00,6,10,0,0,0,0,0,"gradually","veering",0,"by late evening",,3,
"10Sep2000_02.prn","3","wind10M",0,0,315.00,6,10,0,0,0,0,0,,,0,,,0,
"10Sep2000_02.prn","3","wind10M",1,18,45.00,6,10,0,0,0,0,0,"gradually","veering",0,"by evening",,3,
