"filename","starttime","forecasttime","ftype"
"10Nov2001_09.mmo",10/11/2001 01:00:00,10/11/2001 03:00:00,"normal"
"10Nov2001_21.mmo",10/11/2001 12:00:00,10/11/2001 12:00:00,"normal"
"10Oct2000_00.mmo",9/10/2000 13:00:00,9/10/2000 13:00:00,"normal"
"10Oct2000_09.mmo",10/10/2000 02:00:00,10/10/2000 04:00:00,"normal"
"10Oct2000_23.mmo",10/10/2000 13:00:00,10/10/2000 13:00:00,"normal"
"10Oct2001_08.mmo",10/10/2001 02:00:00,10/10/2001 04:00:00,"normal"
"10Oct2001_20.mmo",10/10/2001 13:00:00,10/10/2001 13:00:00,"normal"
"10Sep2000_09.mmo",10/9/2000 02:00:00,10/9/2000 04:00:00,"normal"
"10Sep2001_08.mmo",10/9/2001 02:00:00,10/9/2001 04:00:00,"normal"
"10Sep2001_21.mmo",10/9/2001 13:00:00,10/9/2001 13:00:00,"normal"
"11Apr2001_09.mmo",11/4/2001 02:00:00,11/4/2001 04:00:00,"normal"
"11Apr2001_22.mmo",11/4/2001 13:00:00,11/4/2001 13:00:00,"normal"
"11Apr2002_09.mmo",11/4/2002 02:00:00,11/4/2002 04:00:00,"normal"
"11Apr2002_20.mmo",11/4/2002 13:00:00,11/4/2002 13:00:00,"normal"
"11Aug2000_09.mmo",11/8/2000 02:00:00,11/8/2000 04:00:00,"normal"
"11Aug2000_23.mmo",11/8/2000 13:00:00,11/8/2000 13:00:00,"normal"
"11Aug2001_09.mmo",11/8/2001 02:00:00,11/8/2001 04:00:00,"normal"
"11Aug2001_21.mmo",11/8/2001 13:00:00,11/8/2001 13:00:00,"normal"
"11Dec2000_21.mmo",11/12/2000 12:00:00,11/12/2000 12:00:00,"normal"
"11Dec2001_08.mmo",11/12/2001 01:00:00,11/12/2001 03:00:00,"normal"
"11Dec2001_21.mmo",11/12/2001 12:00:00,11/12/2001 12:00:00,"normal"
"11Feb2001_09.mmo",11/2/2001 01:00:00,11/2/2001 03:00:00,"normal"
"11Feb2001_21.mmo",11/2/2001 12:00:00,11/2/2001 12:00:00,"normal"
"11Feb2002_09.mmo",11/2/2002 01:00:00,11/2/2002 03:00:00,"normal"
"11Feb2002_21.mmo",11/2/2002 12:00:00,11/2/2002 12:00:00,"normal"
"11Jan2001_10.mmo",11/1/2001 01:00:00,11/1/2001 03:00:00,"normal"
"11Jan2001_22.mmo",11/1/2001 12:00:00,11/1/2001 12:00:00,"normal"
"11Jan2002_09.mmo",11/1/2002 01:00:00,11/1/2002 03:00:00,"normal"
"11Jan2002_21.mmo",11/1/2002 12:00:00,11/1/2002 12:00:00,"normal"
"11Jul2000.mmo",11/7/2000 13:00:00,11/7/2000 13:00:00,"normal"
"11Jul2001_09.mmo",11/7/2001 02:00:00,11/7/2001 04:00:00,"normal"
"11Jul2001_22.mmo",11/7/2001 13:00:00,11/7/2001 13:00:00,"normal"
"11Jun2000.mmo",11/6/2000 13:00:00,11/6/2000 13:00:00,"normal"
"11Jun2001_08.mmo",11/6/2001 02:00:00,11/6/2001 04:00:00,"normal"
"11Jun2001_21.mmo",11/6/2001 13:00:00,11/6/2001 13:00:00,"normal"
"11Mar2001_09.mmo",11/3/2001 01:00:00,11/3/2001 03:00:00,"normal"
"11Mar2001_21.mmo",11/3/2001 12:00:00,11/3/2001 12:00:00,"normal"
"11Mar2002_08.mmo",11/3/2002 01:00:00,11/3/2002 03:00:00,"normal"
"11Mar2002_21.mmo",11/3/2002 12:00:00,11/3/2002 12:00:00,"normal"
"11May2001_21.mmo",11/5/2001 13:00:00,11/5/2001 13:00:00,"normal"
"11Nov2000_09.mmo",11/11/2000 01:00:00,11/11/2000 03:00:00,"normal"
"11Nov2000_21.mmo",11/11/2000 12:00:00,11/11/2000 12:00:00,"normal"
"11Nov2001_09.mmo",11/11/2001 01:00:00,11/11/2001 03:00:00,"normal"
"11Nov2001_21.mmo",11/11/2001 12:00:00,11/11/2001 12:00:00,"normal"
"11Oct2000_09.mmo",11/10/2000 02:00:00,11/10/2000 04:00:00,"normal"
"11Oct2000_23.mmo",11/10/2000 13:00:00,11/10/2000 13:00:00,"normal"
"11Oct2001_09.mmo",11/10/2001 02:00:00,11/10/2001 04:00:00,"normal"
"11Oct2001_21.mmo",11/10/2001 13:00:00,11/10/2001 13:00:00,"normal"
"11Sep2000_01.mmo",11/9/2000 02:00:00,11/9/2000 04:00:00,"normal"
"11Sep2000_09.mmo",11/9/2000 02:00:00,11/9/2000 04:00:00,"duplicate"
"11Sep2000_23.mmo",11/9/2000 13:00:00,11/9/2000 13:00:00,"normal"
"11Sep2001_08.mmo",11/9/2001 02:00:00,11/9/2001 04:00:00,"normal"
"11Sep2001_21.mmo",11/9/2001 13:00:00,11/9/2001 13:00:00,"normal"
"12Apr2001_10.mmo",12/4/2001 02:00:00,12/4/2001 04:00:00,"normal"
"12Apr2001_21.mmo",12/4/2001 13:00:00,12/4/2001 13:00:00,"normal"
"12Apr2002_09.mmo",12/4/2002 02:00:00,12/4/2002 04:00:00,"normal"
"12Apr2002_21.mmo",12/4/2002 13:00:00,12/4/2002 13:00:00,"normal"
"12Aug2000_09.mmo",12/8/2000 02:00:00,12/8/2000 04:00:00,"normal"
"12Aug2000_23.mmo",12/8/2000 13:00:00,12/8/2000 13:00:00,"normal"
"12Aug2001_09.mmo",12/8/2001 02:00:00,12/8/2001 04:00:00,"normal"
"12Aug2001_22.mmo",12/8/2001 13:00:00,12/8/2001 13:00:00,"normal"
"12Dec2000_09.mmo",12/12/2000 01:00:00,12/12/2000 03:00:00,"normal"
"12Dec2000_21.mmo",12/12/2000 12:00:00,12/12/2000 12:00:00,"normal"
"12Dec2001_08.mmo",12/12/2001 01:00:00,12/12/2001 03:00:00,"normal"
"12Dec2001_21.mmo",12/12/2001 12:00:00,12/12/2001 12:00:00,"normal"
"12Feb2001_10.mmo",12/2/2001 01:00:00,12/2/2001 03:00:00,"normal"
"12Feb2001_22.mmo",12/2/2001 12:00:00,12/2/2001 12:00:00,"normal"
"12Feb2002_09.mmo",12/2/2002 01:00:00,12/2/2002 03:00:00,"normal"
"12Feb2002_21.mmo",12/2/2002 12:00:00,12/2/2002 12:00:00,"normal"
"12Jan2001_09.mmo",12/1/2001 01:00:00,12/1/2001 03:00:00,"normal"
"12Jan2001_22.mmo",12/1/2001 12:00:00,12/1/2001 12:00:00,"normal"
"12Jan2002_20.mmo",12/1/2002 12:00:00,12/1/2002 12:00:00,"normal"
"12Jul2000.mmo",12/7/2000 13:00:00,12/7/2000 13:00:00,"normal"
"12Jul2001_09.mmo",12/7/2001 02:00:00,12/7/2001 04:00:00,"normal"
"12Jul2001_21.mmo",12/7/2001 13:00:00,12/7/2001 13:00:00,"normal"
"12Jun2000.mmo",12/6/2000 13:00:00,12/6/2000 13:00:00,"normal"
"12Jun2001_21.mmo",12/6/2001 13:00:00,12/6/2001 13:00:00,"normal"
"12Mar2001_16.mmo",,,"error"
"12Mar2002_09.mmo",12/3/2002 01:00:00,12/3/2002 03:00:00,"normal"
"12Mar2002_21.mmo",12/3/2002 12:00:00,12/3/2002 12:00:00,"normal"
"12May2001_09.mmo",12/5/2001 02:00:00,12/5/2001 04:00:00,"normal"
"12May2001_21.mmo",12/5/2001 13:00:00,12/5/2001 13:00:00,"normal"
"12Nov2000_09.mmo",12/11/2000 01:00:00,12/11/2000 03:00:00,"normal"
"12Nov2000_21.mmo",12/11/2000 12:00:00,12/11/2000 12:00:00,"normal"
"12Nov2001_09.mmo",12/11/2001 01:00:00,12/11/2001 03:00:00,"normal"
"12Nov2001_21.mmo",12/11/2001 12:00:00,12/11/2001 12:00:00,"normal"
"12Oct2000_09.mmo",12/10/2000 02:00:00,12/10/2000 04:00:00,"normal"
"12Oct2000_23.mmo",12/10/2000 13:00:00,12/10/2000 13:00:00,"normal"
"12Oct2001_09.mmo",12/10/2001 02:00:00,12/10/2001 04:00:00,"normal"
"12Oct2001_21.mmo",12/10/2001 13:00:00,12/10/2001 13:00:00,"normal"
"12Sep2000_09.mmo",12/9/2000 02:00:00,12/9/2000 04:00:00,"normal"
"12Sep2000_23.mmo",12/9/2000 13:00:00,12/9/2000 13:00:00,"normal"
"12Sep2001_09.mmo",12/9/2001 02:00:00,12/9/2001 04:00:00,"normal"
"12Sep2001_21.mmo",12/9/2001 02:00:00,12/9/2001 04:00:00,"duplicate"
"13Apr2001_10.mmo",13/4/2001 02:00:00,13/4/2001 04:00:00,"normal"
"13Apr2001_21.mmo",13/4/2001 13:00:00,13/4/2001 13:00:00,"normal"
"13Apr2002_09.mmo",13/4/2002 02:00:00,13/4/2002 04:00:00,"normal"
"13Apr2002_21.mmo",13/4/2002 13:00:00,13/4/2002 13:00:00,"normal"
"13Aug2000_10.mmo",13/8/2000 02:00:00,13/8/2000 04:00:00,"normal"
"13Aug2000_23.mmo",13/8/2000 13:00:00,13/8/2000 13:00:00,"normal"
"13Aug2001_09.mmo",13/8/2001 02:00:00,13/8/2001 04:00:00,"normal"
"13Aug2001_21.mmo",13/8/2001 13:00:00,13/8/2001 13:00:00,"normal"
"13Dec2000_09.mmo",13/12/2000 01:00:00,13/12/2000 03:00:00,"normal"
"13Dec2000_22.mmo",13/12/2000 12:00:00,13/12/2000 12:00:00,"normal"
"13Dec2001_10.mmo",13/12/2001 01:00:00,13/12/2001 03:00:00,"normal"
"13Dec2001_20.mmo",13/12/2001 12:00:00,13/12/2001 12:00:00,"normal"
"13Feb2001_09.mmo",13/2/2001 01:00:00,13/2/2001 03:00:00,"normal"
"13Feb2001_21.mmo",13/2/2001 12:00:00,13/2/2001 12:00:00,"normal"
"13Feb2002_09.mmo",13/2/2002 01:00:00,13/2/2002 03:00:00,"normal"
"13Feb2002_21.mmo",13/2/2002 12:00:00,13/2/2002 12:00:00,"normal"
"13Jan2001_09.mmo",13/1/2001 01:00:00,13/1/2001 03:00:00,"normal"
"13Jan2001_22.mmo",13/1/2001 12:00:00,13/1/2001 12:00:00,"normal"
"13Jan2002_09.mmo",13/1/2002 01:00:00,13/1/2002 03:00:00,"normal"
"13Jan2002_20.mmo",13/1/2002 12:00:00,13/1/2002 12:00:00,"normal"
"13Jul2000.mmo",13/7/2000 13:00:00,13/7/2000 13:00:00,"normal"
"13Jul2001_09.mmo",13/7/2001 02:00:00,13/7/2001 04:00:00,"normal"
"13Jul2001_21.mmo",13/7/2001 13:00:00,13/7/2001 13:00:00,"normal"
"13Jun2000.mmo",,,"empty"
"13Jun2001_21.mmo",13/6/2001 13:00:00,13/6/2001 13:00:00,"normal"
"13Mar2001_09.mmo",13/3/2001 01:00:00,13/3/2001 03:00:00,"normal"
"13Mar2001_21.mmo",13/3/2001 12:00:00,13/3/2001 12:00:00,"normal"
"13Mar2002_08.mmo",13/3/2002 01:00:00,13/3/2002 03:00:00,"normal"
"13Mar2002_21.mmo",13/3/2002 12:00:00,13/3/2002 12:00:00,"normal"
"13May2001_09.mmo",13/5/2001 02:00:00,13/5/2001 04:00:00,"normal"
"13May2001_21.mmo",13/5/2001 13:00:00,13/5/2001 13:00:00,"normal"
"13Nov2000_08.mmo",13/11/2000 01:00:00,13/11/2000 03:00:00,"normal"
"13Nov2000_20.mmo",13/11/2000 12:00:00,13/11/2000 12:00:00,"normal"
"13Nov2001_08.mmo",13/11/2001 01:00:00,13/11/2001 03:00:00,"normal"
"13Nov2001_21.mmo",13/11/2001 01:00:00,13/11/2001 03:00:00,"duplicate"
"13Oct2000_09.mmo",13/10/2000 02:00:00,13/10/2000 04:00:00,"normal"
"13Oct2000_23.mmo",13/10/2000 13:00:00,13/10/2000 13:00:00,"normal"
"13Oct2001_08.mmo",13/10/2001 02:00:00,13/10/2001 04:00:00,"normal"
"13Oct2001_21.mmo",13/10/2001 13:00:00,13/10/2001 13:00:00,"normal"
"13Sep2000_09.mmo",13/9/2000 02:00:00,13/9/2000 04:00:00,"normal"
"13Sep2000_23.mmo",13/9/2000 13:00:00,13/9/2000 13:00:00,"normal"
"13Sep2001_09.mmo",13/9/2001 02:00:00,13/9/2001 04:00:00,"normal"
"13Sep2001_21.mmo",13/9/2001 13:00:00,13/9/2001 13:00:00,"normal"
"14Apr2001_09.mmo",14/4/2001 02:00:00,14/4/2001 04:00:00,"normal"
"14Apr2001_21.mmo",14/4/2001 13:00:00,14/4/2001 13:00:00,"normal"
"14Apr2002_09.mmo",14/4/2002 02:00:00,14/4/2002 04:00:00,"normal"
"14Apr2002_21.mmo",14/4/2002 13:00:00,14/4/2002 13:00:00,"normal"
"14Aug2000_10.mmo",14/8/2000 02:00:00,14/8/2000 04:00:00,"normal"
"14Aug2001_09.mmo",14/8/2001 02:00:00,14/8/2001 04:00:00,"normal"
"14Aug2001_21.mmo",14/8/2001 13:00:00,14/8/2001 13:00:00,"normal"
"14Dec2000_08.mmo",14/12/2000 01:00:00,14/12/2000 03:00:00,"normal"
"14Dec2000_21.mmo",14/12/2000 12:00:00,14/12/2000 12:00:00,"normal"
"14Dec2001_09.mmo",14/12/2001 01:00:00,14/12/2001 03:00:00,"normal"
"14Dec2001_20.mmo",14/12/2001 12:00:00,14/12/2001 12:00:00,"normal"
"14Feb2001_09.mmo",14/2/2001 01:00:00,14/2/2001 03:00:00,"normal"
"14Feb2001_22.mmo",14/2/2001 12:00:00,14/2/2001 12:00:00,"normal"
"14Feb2002_09.mmo",14/2/2002 01:00:00,14/2/2002 03:00:00,"normal"
"14Feb2002_21.mmo",14/2/2002 12:00:00,14/2/2002 12:00:00,"normal"
"14Jan2001_09.mmo",14/1/2001 01:00:00,14/1/2001 03:00:00,"normal"
"14Jan2001_22.mmo",14/1/2001 12:00:00,14/1/2001 12:00:00,"normal"
"14Jan2002_09.mmo",14/1/2002 01:00:00,14/1/2002 03:00:00,"normal"
"14Jan2002_21.mmo",14/1/2002 12:00:00,14/1/2002 12:00:00,"normal"
"14Jul2000.mmo",14/7/2000 13:00:00,14/7/2000 13:00:00,"normal"
"14Jul2001_09.mmo",14/7/2001 02:00:00,14/7/2001 04:00:00,"normal"
"14Jun2000.mmo",14/6/2000 13:00:00,14/6/2000 13:00:00,"normal"
"14Jun2001_09.mmo",14/6/2001 02:00:00,14/6/2001 04:00:00,"normal"
"14Jun2001_21.mmo",14/6/2001 13:00:00,14/6/2001 13:00:00,"normal"
"14Mar2001_09.mmo",14/3/2001 01:00:00,14/3/2001 03:00:00,"normal"
"14Mar2001_22.mmo",14/3/2001 12:00:00,14/3/2001 12:00:00,"normal"
"14Mar2002_09.mmo",14/3/2002 01:00:00,14/3/2002 03:00:00,"normal"
"14Mar2002_21.mmo",14/3/2002 12:00:00,14/3/2002 12:00:00,"normal"
"14May2001_09.mmo",14/5/2001 02:00:00,14/5/2001 04:00:00,"normal"
"14May2001_21.mmo",14/5/2001 13:00:00,14/5/2001 13:00:00,"normal"
"14Nov2000_08.mmo",14/11/2000 01:00:00,14/11/2000 03:00:00,"normal"
"14Nov2000_22.mmo",14/11/2000 12:00:00,14/11/2000 12:00:00,"normal"
"14Nov2001_08.mmo",14/11/2001 01:00:00,14/11/2001 03:00:00,"normal"
"14Nov2001_21.mmo",14/11/2001 12:00:00,14/11/2001 12:00:00,"normal"
"14Oct2000_11.mmo",14/10/2000 02:00:00,14/10/2000 04:00:00,"normal"
"14Oct2001_09.mmo",14/10/2001 02:00:00,14/10/2001 04:00:00,"normal"
"14Oct2001_21.mmo",14/10/2001 13:00:00,14/10/2001 13:00:00,"normal"
"14Sep2000_09.mmo",14/9/2000 02:00:00,14/9/2000 04:00:00,"normal"
"14Sep2000_23.mmo",14/9/2000 13:00:00,14/9/2000 13:00:00,"normal"
"14Sep2001_09.mmo",14/9/2001 02:00:00,14/9/2001 04:00:00,"normal"
"14Sep2001_21.mmo",14/9/2001 13:00:00,14/9/2001 13:00:00,"normal"
"15Apr2001_08.mmo",15/4/2001 02:00:00,15/4/2001 04:00:00,"normal"
"15Apr2001_21.mmo",15/4/2001 13:00:00,15/4/2001 13:00:00,"normal"
"15Apr2002_09.mmo",15/4/2002 02:00:00,15/4/2002 04:00:00,"normal"
"15Apr2002_21.mmo",15/4/2002 13:00:00,15/4/2002 13:00:00,"normal"
"15Aug2000_00.mmo",14/8/2000 13:00:00,14/8/2000 13:00:00,"normal"
"15Aug2000_09.mmo",15/8/2000 02:00:00,15/8/2000 04:00:00,"normal"
"15Aug2000_23.mmo",15/8/2000 13:00:00,15/8/2000 13:00:00,"normal"
"15Aug2001_10.mmo",15/8/2001 02:00:00,15/8/2001 04:00:00,"normal"
"15Aug2001_21.mmo",15/8/2001 13:00:00,15/8/2001 13:00:00,"normal"
"15Dec2000_10.mmo",15/12/2000 01:00:00,15/12/2000 03:00:00,"normal"
"15Dec2001_09.mmo",15/12/2001 01:00:00,15/12/2001 03:00:00,"normal"
"15Dec2001_20.mmo",15/12/2001 12:00:00,15/12/2001 12:00:00,"normal"
"15Feb2001_09.mmo",15/2/2001 01:00:00,15/2/2001 03:00:00,"normal"
"15Feb2001_22.mmo",15/2/2001 12:00:00,15/2/2001 12:00:00,"normal"
"15Feb2002_09.mmo",15/2/2002 01:00:00,15/2/2002 03:00:00,"normal"
"15Feb2002_21.mmo",15/2/2002 12:00:00,15/2/2002 12:00:00,"normal"
"15Jan2001_09.mmo",15/1/2001 01:00:00,15/1/2001 03:00:00,"normal"
"15Jan2001_22.mmo",15/1/2001 12:00:00,15/1/2001 12:00:00,"normal"
"15Jan2002_08.mmo",15/1/2002 01:00:00,15/1/2002 03:00:00,"normal"
"15Jan2002_21.mmo",15/1/2002 12:00:00,15/1/2002 12:00:00,"normal"
"15Jul2000.mmo",15/7/2000 13:00:00,15/7/2000 13:00:00,"normal"
"15Jul2001_10.mmo",15/7/2001 02:00:00,15/7/2001 04:00:00,"normal"
"15Jul2001_21.mmo",15/7/2001 13:00:00,15/7/2001 13:00:00,"normal"
"15Jun2000.mmo",15/6/2000 13:00:00,15/6/2000 13:00:00,"normal"
"15Jun2001_09.mmo",15/6/2001 13:00:00,15/6/2001 13:00:00,"normal"
"15Jun2001_21.mmo",15/6/2001 13:00:00,15/6/2001 13:00:00,"duplicate"
"15Mar2001_10.mmo",15/3/2001 01:00:00,15/3/2001 03:00:00,"normal"
"15Mar2001_23.mmo",15/3/2001 12:00:00,15/3/2001 12:00:00,"normal"
"15Mar2002_08.mmo",15/3/2002 01:00:00,15/3/2002 03:00:00,"normal"
"15Mar2002_21.mmo",15/3/2002 12:00:00,15/3/2002 12:00:00,"normal"
"15May2001_09.mmo",15/5/2001 02:00:00,15/5/2001 04:00:00,"normal"
"15May2001_21.mmo",15/5/2001 13:00:00,15/5/2001 13:00:00,"normal"
"15Nov2000_09.mmo",15/11/2000 01:00:00,15/11/2000 03:00:00,"normal"
"15Nov2000_21.mmo",15/11/2000 12:00:00,15/11/2000 12:00:00,"normal"
"15Nov2001_08.mmo",15/11/2001 01:00:00,15/11/2001 03:00:00,"normal"
"15Nov2001_21.mmo",15/11/2001 12:00:00,15/11/2001 12:00:00,"normal"
"15Oct2000_00.mmo",14/10/2000 13:00:00,14/10/2000 13:00:00,"normal"
"15Oct2000_09.mmo",15/10/2000 02:00:00,15/10/2000 04:00:00,"normal"
"15Oct2000_23.mmo",15/10/2000 13:00:00,15/10/2000 13:00:00,"normal"
"15Oct2001_08.mmo",15/10/2001 02:00:00,15/10/2001 04:00:00,"normal"
"15Oct2001_21.mmo",15/10/2001 13:00:00,15/10/2001 13:00:00,"normal"
"15Sep2000_09.mmo",15/9/2000 02:00:00,15/9/2000 04:00:00,"normal"
"15Sep2000_23.mmo",15/9/2000 13:00:00,15/9/2000 13:00:00,"normal"
"15Sep2001_09.mmo",15/9/2001 02:00:00,15/9/2001 04:00:00,"normal"
"15Sep2001_21.mmo",15/9/2001 13:00:00,15/9/2001 13:00:00,"normal"
"16Apr2001_09.mmo",16/4/2001 02:00:00,16/4/2001 04:00:00,"normal"
"16Apr2001_21.mmo",16/4/2001 13:00:00,16/4/2001 13:00:00,"normal"
"16Apr2002_10.mmo",16/4/2002 02:00:00,16/4/2002 04:00:00,"normal"
"16Apr2002_21.mmo",16/4/2002 13:00:00,16/4/2002 13:00:00,"normal"
"16Aug2000_09.mmo",16/8/2000 02:00:00,16/8/2000 04:00:00,"normal"
"16Aug2000_23.mmo",16/8/2000 13:00:00,16/8/2000 13:00:00,"normal"
"16Aug2001_10.mmo",16/8/2001 02:00:00,16/8/2001 04:00:00,"normal"
"16Aug2001_21.mmo",16/8/2001 13:00:00,16/8/2001 13:00:00,"normal"
"16Dec2000_21.mmo",16/12/2000 12:00:00,16/12/2000 12:00:00,"normal"
"16Dec2001_09.mmo",16/12/2001 01:00:00,16/12/2001 03:00:00,"normal"
"16Dec2001_21.mmo",16/12/2001 12:00:00,16/12/2001 12:00:00,"normal"
"16Feb2001_09.mmo",16/2/2001 01:00:00,16/2/2001 03:00:00,"normal"
"16Feb2001_22.mmo",16/2/2001 12:00:00,16/2/2001 12:00:00,"normal"
"16Feb2002_09.mmo",16/2/2002 01:00:00,16/2/2002 03:00:00,"normal"
"16Feb2002_21.mmo",16/2/2002 12:00:00,16/2/2002 12:00:00,"normal"
"16Jan2001_09.mmo",16/1/2001 01:00:00,16/1/2001 03:00:00,"normal"
"16Jan2001_21.mmo",16/1/2001 12:00:00,16/1/2001 12:00:00,"normal"
"16Jan2002_08.mmo",16/1/2002 01:00:00,16/1/2002 03:00:00,"normal"
"16Jan2002_21.mmo",16/1/2002 12:00:00,16/1/2002 12:00:00,"normal"
"16Jul2000.mmo",16/7/2000 13:00:00,16/7/2000 13:00:00,"normal"
"16Jul2001_09.mmo",16/7/2001 02:00:00,16/7/2001 04:00:00,"normal"
"16Jul2001_22.mmo",16/7/2001 13:00:00,16/7/2001 13:00:00,"normal"
"16Jun2000.mmo",16/6/2000 13:00:00,16/6/2000 13:00:00,"normal"
"16Jun2001_09.mmo",16/6/2001 02:00:00,16/6/2001 04:00:00,"normal"
"16Jun2001_21.mmo",16/6/2001 13:00:00,16/6/2001 13:00:00,"normal"
"16Mar2001_11.mmo",16/3/2001 01:00:00,16/3/2001 03:00:00,"normal"
"16Mar2001_21.mmo",16/3/2001 12:00:00,16/3/2001 12:00:00,"normal"
"16Mar2002_09.mmo",16/3/2002 01:00:00,16/3/2002 03:00:00,"normal"
"16Mar2002_20.mmo",16/3/2002 12:00:00,16/3/2002 12:00:00,"normal"
"16May2001_09.mmo",16/5/2001 02:00:00,16/5/2001 04:00:00,"normal"
"16May2001_21.mmo",16/5/2001 13:00:00,16/5/2001 13:00:00,"normal"
"16Nov2000_09.mmo",16/11/2000 01:00:00,16/11/2000 03:00:00,"normal"
"16Nov2000_22.mmo",16/11/2000 12:00:00,16/11/2000 12:00:00,"normal"
"16Nov2001_10.mmo",16/11/2001 01:00:00,16/11/2001 03:00:00,"normal"
"16Nov2001_21.mmo",16/11/2001 12:00:00,16/11/2001 12:00:00,"normal"
"16Oct2000_09.mmo",16/10/2000 02:00:00,16/10/2000 04:00:00,"normal"
"16Oct2000_23.mmo",16/10/2000 13:00:00,16/10/2000 13:00:00,"normal"
"16Oct2001_08.mmo",16/10/2001 02:00:00,16/10/2001 04:00:00,"normal"
"16Oct2001_20.mmo",16/10/2001 13:00:00,16/10/2001 13:00:00,"normal"
"16Sep2000_10.mmo",16/9/2000 02:00:00,16/9/2000 04:00:00,"normal"
"16Sep2000_23.mmo",16/9/2000 13:00:00,16/9/2000 13:00:00,"normal"
"16Sep2001_09.mmo",16/9/2001 02:00:00,16/9/2001 04:00:00,"normal"
"16Sep2001_22.mmo",16/9/2001 13:00:00,16/9/2001 13:00:00,"normal"
"17Apr2001_09.mmo",17/4/2001 02:00:00,17/4/2001 04:00:00,"normal"
"17Apr2001_21.mmo",17/4/2001 13:00:00,17/4/2001 13:00:00,"normal"
"17Apr2002_09.mmo",17/4/2002 02:00:00,17/4/2002 04:00:00,"normal"
"17Aug2000_10.mmo",17/8/2000 02:00:00,17/8/2000 04:00:00,"normal"
"17Aug2001_09.mmo",17/8/2001 02:00:00,17/8/2001 04:00:00,"normal"
"17Aug2001_22.mmo",17/8/2001 13:00:00,17/8/2001 13:00:00,"normal"
"17Dec2000_09.mmo",17/12/2000 01:00:00,17/12/2000 03:00:00,"normal"
"17Dec2000_21.mmo",17/12/2000 12:00:00,17/12/2000 12:00:00,"normal"
"17Dec2001_09.mmo",17/12/2001 01:00:00,17/12/2001 03:00:00,"normal"
"17Dec2001_20.mmo",17/12/2001 12:00:00,17/12/2001 12:00:00,"normal"
"17Feb2001_09.mmo",17/2/2001 01:00:00,17/2/2001 03:00:00,"normal"
"17Feb2001_22.mmo",17/2/2001 12:00:00,17/2/2001 12:00:00,"normal"
"17Feb2002_09.mmo",17/2/2002 01:00:00,17/2/2002 03:00:00,"normal"
"17Feb2002_21.mmo",17/2/2002 12:00:00,17/2/2002 12:00:00,"normal"
"17Jan2001_09.mmo",17/1/2001 01:00:00,17/1/2001 03:00:00,"normal"
