"id","filename","section","field","ftext"
1080713360,"10Aug2000_13.prn","2","cloud","6-8 ST 400-800 FALLING SURFACE TO 300 IN FOG OCCASIONALLY BREAKING 5-7 STSC 800-1200"
1080713361,"10Aug2000_13.prn","2","lightning","NIL"
1080713362,"10Aug2000_13.prn","3","wind10M","NE-N  8 OR LESS GRADUALLY BACKING SW-S"
1080713363,"10Aug2000_13.prn","3","wind50M","NE-N 10 OR LESS GRADUALLY BACKING SW-S"
1080713364,"10Aug2000_13.prn","3","waveSigHeight","1.0-1.5 FALLING AROUND 1.0"
1080713365,"10Aug2000_13.prn","3","waveMaxHeight","1.5-2.5 FALLING AROUND 1.5"
1080713366,"10Aug2000_13.prn","3","weather","CLOUDY TO OVERCAST AND MISTY WITH DRIZZLE/FOG PATCHES GRADUALLY LIFTING AND BREAKING PARTLY CLOUDY TO CLOUDY"
1080713367,"10Aug2000_13.prn","3","visibility","MODERATE TO POOR GRADUALLY IMPROVING GOOD"
1080713368,"10Aug2000_13.prn","4","wind10M","SW-S  8 OR LESS INCREASING S-SSE 12-16 BY EVENING"
1080713369,"10Aug2000_13.prn","4","wind50M","SW-S 10 OR LESS INCREASING S-SSE 15-20 BY EVENING"
1080713370,"10Aug2000_13.prn","4","waveSigHeight","AROUND 1.0 LATER RISING 1.0-1.5"
1080713371,"10Aug2000_13.prn","4","waveMaxHeight","AROUND 1.5 LATER RISING 1.5-2.5"
1080713372,"10Aug2000_13.prn","4","weather","PARTLY CLOUDY TO CLOUDY"
1080713373,"10Aug2000_13.prn","5A","wind10M","S-SSE 12-16 EASING  8 OR LESS LATER SUNDAY, BACKING SE-E DURING MONDAY"
1080713374,"10Aug2000_13.prn","5A","waveSigHeight","1.0-1.5"
1080713375,"10Jul2000.prn","2","wind10M","NE 18-22 STEADILY RISING N-NE 28-32 GUSTS 42"
1080713376,"10Jul2000.prn","2","wind50M","NE 22-28 STEADILY RISING N-NE 35-40 GUSTS 50"
1080713377,"10Jul2000.prn","2","waveSigHeight","1.5-2.0 INCREASING TO 4.0-5.0"
1080713378,"10Jul2000.prn","2","waveMaxHeight","2.5-3.0 INCREASING TO 6.5-8.0"
1080713379,"10Jul2000.prn","2","wavePeriod","5-7 BECOMING 7-10"
1080713380,"10Jul2000.prn","2","weather","CLOUDY/PARTLY CLOUDY WITH SHOWERS, SQUALLY AT TIMES"
1080713381,"10Jul2000.prn","2","visibility","10 OR MORE BUT 2-6 IN SHOWERS"
1080713382,"10Jul2000.prn","2","temperature","PS 9-11"
1080713383,"10Jul2000.prn","2","cloud","4-8 CUSC AT 1500-2500"
1080713384,"10Jul2000.prn","2","lightning","MODERATE (40-60 PERCENT)"
1080713385,"10Jul2000.prn","3","wind10M","N-NE 28-32 GUSTS 42 BACKING N AND EASING 22-28 LATER"
1080713386,"10Jul2000.prn","3","wind50M","N-NE 35-40 GUSTS 50 BACKING N AND EASING 28-35 LATER"
1080713387,"10Jul2000.prn","3","waveSigHeight","4.0-5.0 SLOWLY DECREASING 3.0-3.5"
1080713388,"10Jul2000.prn","3","waveMaxHeight","6,5-8.0 SLOWLY DECREASING 5.0-5.5"
1080713389,"10Jul2000.prn","3","weather","SCATTERED SHOWERS, SQUALLY AT TIMES"
1080713390,"10Jul2000.prn","3","visibility","GOOD BUT MODERATE IN SHOWERS"
1080713391,"10Jul2000.prn","4","wind10M","N'LY 22-28 FALLING W'LY 10 OR LESS BY END OF PERIOD"
1080713392,"10Jul2000.prn","4","wind50M","N'LY 28-35 FALLING W'LY 12 OR LESS BY END OF PERIOD"
1080713393,"10Jul2000.prn","4","waveSigHeight","3.0-3.5 WITH SWELL DECREASING TO 1.5"
1080713394,"10Jul2000.prn","4","waveMaxHeight","5.0-5.5 WITH SWELL DECREASING TO 2.5"
1080713395,"10Jul2000.prn","4","weather","SCATTERED SHOWERS DYING OUT"
1080713396,"10Jul2000.prn","5A","wind10M","W'LY 10 OR LESS BACKING S-SW 8-12 BY THURSDAY MIDDAY. FALLING VARIABLE 10 OR LESS LATER THURSDAY"
1080713397,"10Jul2000.prn","5A","waveSigHeight","AROUND 1.5 SOON 1.0-1.5. BECOMING 1.5-2.0 LATER WITH W'LY SWELL"
1080713398,"10Jul2000.prn","5B","wind10M","VARIABLE 10 OR LESS BECOMING NE AND RISING 12-18 SATURDAY. INCREASING SUNDAY N'LY 18-22"
1080713399,"10Jul2000.prn","5B","waveSigHeight","MAINLY 1.5-2.0"
1080713400,"10Nov2000_02.prn","2","windconf","HIGH"
1080713401,"10Nov2000_02.prn","2","wind10M","NNW 06-10 GRADUALLY VEERING E 02-06 BY EVENING"
1080713402,"10Nov2000_02.prn","2","wind50M","NNW 10-14 GRADUALLY VEERING E 04-08 BY EVENING"
1080713403,"10Nov2000_02.prn","2","waveconf","HIGH"
1080713404,"10Nov2000_02.prn","2","waveSigHeight","1.5-2.0 LATER FALLING 1.5"
1080713405,"10Nov2000_02.prn","2","waveMaxHeight","2.5-3.0 LATER FALLING 2.5"
1080713406,"10Nov2000_02.prn","2","wavePeriod","05-08"
1080713407,"10Nov2000_02.prn","2","weather","SCATTERED SHOWERS AT FIRST,ISOLATED LATER"
1080713408,"10Nov2000_02.prn","2","visibility","10+ FALLING 3-5 IN SHOWERS"
1080713409,"10Nov2000_02.prn","2","temperature","08-10"
1080713410,"10Nov2000_02.prn","2","cloud","3-6 CUSC 2500-4000 LOWERING 1200-1800 IN SHOWERS"
1080713411,"10Nov2000_02.prn","2","lightning","LOW (20 PER CENT)"
1080713412,"10Nov2000_02.prn","3","wind10M","E 02-06 VEERING SE 28-32 BY MIDDAY,LATER SSE 14-18"
1080713413,"10Nov2000_02.prn","3","wind50M","E 04-08 VEERING SE 35-40 BY MIDDAY,LATER SSE 18-22"
1080713414,"10Nov2000_02.prn","3","waveSigHeight","AROUND 1.5 RISING 3.5 BY MID AFTERNOON,LATER 3.0-3.5"
1080713415,"10Nov2000_02.prn","3","waveMaxHeight","AROUND 2.5 RISING 5.5 BY MID AFTERNOON,LATER 5.0-5.5"
1080713416,"10Nov2000_02.prn","3","weather","ISOLATED SHOWERS DYING OUT THEN OVERCAST/MISTY WITH RAIN,HEAVY AT TIMES."
1080713417,"10Nov2000_02.prn","3","visibility","GOOD LATER MODERATE LOCALLY POOR IN HEAVY RAIN"
1080713418,"10Nov2000_02.prn","4","wind10M","SSE 14-18 BACKING ESE 10-14 THEN NE-NNE 16-20 BY AFTERNOON"
1080713419,"10Nov2000_02.prn","4","wind50M","SSE 18-22 BACKING ESE 14-18 THEN NE-NNE 20-26 BY AFTERNOON"
1080713420,"10Nov2000_02.prn","4","waveSigHeight","3.0-3.5 FALLING 2.5-3.0 FOR A TIME"
1080713421,"10Nov2000_02.prn","4","waveMaxHeight","5.0-5.5 FALLING 4.0-5.0 FOR A TIME"
1080713422,"10Nov2000_02.prn","4","weather","OVERCAST/MISTY WITH RAIN AT FIRST,SOON BREAKING PARTLY CLOUDY/CLOUDY WITH SCATTERED SHOWERS RISK THUNDERSTORM."
1080713423,"10Nov2000_02.prn","5A","wind10M","NNE 16-20 BACKING N-NNW 24-28 GUSTS 36 BY LATE MONDAY AFTERNON THEN BACKING NW BEFORE FALLING VARIABLE 08-12 TUESDAY EVENING"
1080713424,"10Nov2000_02.prn","5A","waveSigHeight","3.0-3.5 RISING 4.5-5.0 BY MONDAY EVENING THEN FALLING SLOWLY 2.5-3.0 BY TUESDAY EVENING"
1080713425,"10Nov2000_16.prn","2","windconf","HIGH"
1080713426,"10Nov2000_16.prn","2","wind10M","N 10 OR LESS VEERING SE AND RISING 20-24 LATE IN THE PERIOD"
1080713427,"10Nov2000_16.prn","2","wind50M","N 12 OR LESS VEERING SE AND RISING 25-30 LATE IN THE PERIOD"
1080713428,"10Nov2000_16.prn","2","waveconf","HIGH"
1080713429,"10Nov2000_16.prn","2","waveSigHeight","1.0-1.5 RISING 1.5-2.0 LATER"
1080713430,"10Nov2000_16.prn","2","waveMaxHeight","1.5-2.5 RISING 2.5-3.0 LATER"
1080713431,"10Nov2000_16.prn","2","wavePeriod","SEA 3 RISING 4-5, SWELL 7-8"
1080713432,"10Nov2000_16.prn","2","weather","ISOLATED SHOWERS. PATCHY RAIN LATER IN THE PERIOD"
1080713433,"10Nov2000_16.prn","2","visibility","OVER 10 FALLING 4-6 IN RAIN LATER"
1080713434,"10Nov2000_16.prn","2","temperature","8-9"
1080713435,"10Nov2000_16.prn","2","cloud","3-6 CU/SC 1200-2500 BECOMING 8 SC 2000-3000 LATER"
1080713436,"10Nov2000_16.prn","2","lightning","LOW (20 PER CENT)"
1080713437,"10Nov2000_16.prn","3","wind10M","SE 20-24 RISING 28-32 BY MIDDAY THEN VEERING SSE IN THE AFTERNOON AND EASING 10-14 LATER"
1080713438,"10Nov2000_16.prn","3","wind50M","SE 25-30 RISING 35-40 BY MIDDAY THEN VEERING SSE IN THE AFTERNOON AND EASING 12-18 LATER"
1080713439,"10Nov2000_16.prn","3","waveSigHeight","1.5-2.0 RISING 3.0-3.5 IN THE AFTERNOON, LATER FALLING 2.5-3.0"
1080713440,"10Nov2000_16.prn","3","waveMaxHeight","2.5-3.0 RISING 5.0-5.5 IN THE AFTERNOON, LATER FALLING 4.0-5.0"
1080713441,"10Nov2000_16.prn","3","weather","RAIN CLEARING TO SHOWERS BY EVENING"
1080713442,"10Nov2000_16.prn","3","visibility","MODERATE BECOMING GOOD BY EVENING"
1080713443,"10Nov2000_16.prn","4","wind10M","SSE 10-14 SLOWLY BACKING E"
1080713444,"10Nov2000_16.prn","4","wind50M","SSE 12-18 SLOWLY BACKING E"
1080713445,"10Nov2000_16.prn","4","waveSigHeight","2.5-3.0"
1080713446,"10Nov2000_16.prn","4","waveMaxHeight","4.0-5.0"
1080713447,"10Nov2000_16.prn","4","weather","SCATTERED SHOWERS WITH MORE PERSISTENT RAIN FOR A TIME EARLY IN THE PERIOD"
1080713448,"10Nov2000_16.prn","5","wind10M","E 10-14 BACKING NW 20-24 LATER ON MONDAY, BACKING WNW 14-18 ON TUESDAY"
1080713449,"10Nov2000_16.prn","5","waveSigHeight","2.5-3.0 RISING 4.0-5.0 MONDAY NIGHT AND ON TUESDAY, FALLING 3.5 LATER ON TUESDAY"
1080713450,"10Oct2000_02.prn","2","windconf","HIGH"
1080713451,"10Oct2000_02.prn","2","wind10M","ESE 14-18 GRADUALLY INCREASING E'LY 26-30 GUSTS 40 BY MIDNIGHT"
1080713452,"10Oct2000_02.prn","2","wind50M","ESE 17-22 GRADUALLY INCREASING E'LY 32-38 GUSTS 48 BY MIDNIGHT"
1080713453,"10Oct2000_02.prn","2","waveconf","HIGH"
1080713454,"10Oct2000_02.prn","2","waveSigHeight","AROUND 2.0 RISING 4.0 BY MIDNIGHT"
1080713455,"10Oct2000_02.prn","2","waveMaxHeight","AROUND 3.0 RISING 6.5 BY MIDNIGHT"
1080713456,"10Oct2000_02.prn","2","wavePeriod","SEA: 4-5 RISING 6-7 SWELL: 9-11"
1080713457,"10Oct2000_02.prn","2","weather","PARTLY CLOUDY/CLOUDY BECOMING OVERCAST WITH RAIN/MIST THIS EVENING"
1080713458,"10Oct2000_02.prn","2","visibility","OVER 10 BECOMING 2-5 THIS EVENING"
1080713459,"10Oct2000_02.prn","2","temperature","PS 10-13"
1080713460,"10Oct2000_02.prn","2","cloud","4-7 CU SC 1200-2000 BECOMING 8 ST SC 600-1200 THIS EVENING WITH PATCHES ST 300-600 LATER"
1080713461,"10Oct2000_02.prn","2","lightning","NIL BECOMING MODERATE (40 PERCENT) LATE EVENING"
1080713462,"10Oct2000_02.prn","3","wind10M","E'LY 26-30 INCREASING 30-35 GUSTS 45 SOON, VEERING E-SE 15-20 BY MIDDAY, THEN BACKING E-NE 20-25 LATER"
1080713463,"10Oct2000_02.prn","3","wind50M","E'LY 32-38 INCREASING 38-44 GUSTS 55 SOON, VEERING E-SE 18-25 BY MIDDAY, THEN BACKING E-NE 25-32 LATER"
1080713464,"10Oct2000_02.prn","3","waveSigHeight","4.0 RISING 4.5-5.5 SOON, FALLING AROUND 3.5 BY MID AFTERNOON, AND 3.0 LATER"
1080713465,"10Oct2000_02.prn","3","waveMaxHeight","6.5 RISING 7.0-9.0 SOON, FALLING AROUND 5.5 BY MID AFTERNOON, AND 5.0 LATER"
1080713466,"10Oct2000_02.prn","3","weather","OVERCAST/MISTY WITH RAIN AT FIRST AND AGAIN LATER"
1080713467,"10Oct2000_02.prn","3","visibility","MODERATE BUT POOR AT TIMES IN RAIN/MIST"
1080713468,"10Oct2000_02.prn","4","wind10M","E-NE 20-25 VEERING SE 08-12 BY MIDDAY, BECOMING N'LY LESS THAN 08 LATER"
1080713469,"10Oct2000_02.prn","4","wind50M","E-NE 25-32 VEERING SE 10-15 BY MIDDAY, BECOMING N'LY LESS THAN 10 LATER"
1080713470,"10Oct2000_02.prn","4","waveSigHeight","AROUND 3.0 MAINLY SE-SSE SWELL"
1080713471,"10Oct2000_02.prn","4","waveMaxHeight","AROUND 5.0 MAINLY SE-SSE SWELL"
1080713472,"10Oct2000_02.prn","4","weather","OVERCAST/MISTY WITH OCCASIONAL RAIN/MIST. RISK OF FOG PATCHES DEVELOPING"
1080713473,"10Oct2000_02.prn","5A","wind10M","N'LY LESS THAN 08 BACKING SSW 10-14 DURING FRIDAY, FRESHENING 18-22 BY MIDDAY SATURDAY, EASING 12-15 LATE SATURDAY"
1080713474,"10Oct2000_02.prn","5A","waveSigHeight","AROUND 3.0 ON FRIDAY, GRADUALLY FALLING 2.0-2.5 ON SATURDAY"
1080713475,"10Oct2000_02.prn","5B","wind10M","SSW 12-15 VEERING SW 22-26 LATE SUNDAY, BACKING S'LY 14-18 BY MIDDAY MONDAY, THEN INCREASING 26-30 BY LATE MONDAY"
1080713476,"10Oct2000_02.prn","5B","waveSigHeight","2.0-2.5 RISING 2.5-3.0 LATE SUNDAY/EARLY MONDAY, FALLING 2.0-2.5 BY MIDDAY MONDAY, RISING 3.0-3.5 LATE MONDAY"
1080713477,"10Oct2000_16.prn","2","windconf","HIGH"
1080713478,"10Oct2000_16.prn","2","wind10M","ENE 16-20 VEERING E AND RISING 30-34 TONIGHT"
1080713479,"10Oct2000_16.prn","2","wind50M","ENE 20-25 VEERING E AND RISING 38-43 TONIGHT"
1080713480,"10Oct2000_16.prn","2","waveconf","HIGH"
1080713481,"10Oct2000_16.prn","2","waveSigHeight","2.5 RISING 3.5-4.0"
1080713482,"10Oct2000_16.prn","2","waveMaxHeight","4.0 RISING 5.5-6.5"
1080713483,"10Oct2000_16.prn","2","wavePeriod","SEA 4-5 RISING 6-8, SWELL 8-10"
1080713484,"10Oct2000_16.prn","2","weather","PARTLY CLOUDY BECOMING CLOUDY TO OVERCAST WITH PATCHY RAIN TONIGHT"
1080713485,"10Oct2000_16.prn","2","visibility","OVER 10 FALLING 4-6 IN RAIN"
1080713486,"10Oct2000_16.prn","2","temperature","11-12"
1080713487,"10Oct2000_16.prn","2","cloud","2-5 SC 3000-5000 BECOMING 7-8 SC 3000 WITH PATCHY SC 1200 IN RAIN LATER"
1080713488,"10Oct2000_16.prn","2","lightning","NIL"
1080713489,"10Oct2000_16.prn","3","wind10M","E 30-34 VEERING ESE 18-22 IN THE MORNING THEN BACKING NE AND RISING 32-36 IN THE EVENING"
1080713490,"10Oct2000_16.prn","3","wind50M","E 38-43 VEERING ESE 23-28 IN THE MORNING THEN BACKING NE AND RISING 40-45 IN THE EVENING"
1080713491,"10Oct2000_16.prn","3","waveSigHeight","3.5-4.0 RISING 4.0-4.5 FOR A TIME IN THE MORNING AND AGAIN IN THE EVENING"
1080713492,"10Oct2000_16.prn","3","waveMaxHeight","5.5-6.5 RISING 6.5-7.0 FOR A TIME IN THE MORNING AND AGAIN IN THE EVENING"
1080713493,"10Oct2000_16.prn","3","weather","RAIN AT FIRST AND AGAIN LATER"
1080713494,"10Oct2000_16.prn","3","visibility","MODERATE OR GOOD"
1080713495,"10Oct2000_16.prn","4","wind10M","NE 32-36 SOON VEERING SE 18-22 THEN EASING 14-18 BY EVENING"
1080713496,"10Oct2000_16.prn","4","wind50M","NE 40-45 SOON VEERING SE 23-28 THEN EASING 18-23 BY EVENING"
1080713497,"10Oct2000_16.prn","4","waveSigHeight","4.0-4.5 FALLING AROUND 2.5 LATER"
1080713498,"10Oct2000_16.prn","4","waveMaxHeight","6.5-7.0 FALLING AROUND 4.0 LATER"
1080713499,"10Oct2000_16.prn","4","weather","RAIN SOON CLEARING TO ISOLATED SHOWERS"
1080713500,"10Oct2000_16.prn","5","wind10M","SE 14-18 EASING 10 OR LESS AND VEERING WSW LATER ON FRIDAY, BACKING SW 12-16 ON SATURDAY"
1080713501,"10Oct2000_16.prn","5","waveSigHeight","2.5 FALLING 2.0 ON FRIDAY AND 1.5-2.0 ON SATURDAY"
1080713502,"10Sep2000_02.prn","2","windconf","HIGH"
1080713503,"10Sep2000_02.prn","2","wind10M","WNW 14-18 GRADUALLY VEERING NW 06-10 BY LATE EVENING"
1080713504,"10Sep2000_02.prn","2","wind50M","WNW 18-22 GRADUALLY VEERING NW 10-14 BY LATE EVENING"
1080713505,"10Sep2000_02.prn","2","waveconf","HIGH"
1080713506,"10Sep2000_02.prn","2","waveSigHeight","3.0-3.5"
1080713507,"10Sep2000_02.prn","2","waveMaxHeight","5.0-5.5"
1080713508,"10Sep2000_02.prn","2","wavePeriod","SEAS: 05-06. SWELL: 10-11"
1080713509,"10Sep2000_02.prn","2","weather","PARTLY CLOUDY/CLOUDY WITH ISOLATED SHOWERS AT FIRST DYING OUT BY EVENING"
1080713510,"10Sep2000_02.prn","2","visibility","10+ FALLING 3-5 IN SHOWERS"
1080713511,"10Sep2000_02.prn","2","temperature","09-11"
1080713512,"10Sep2000_02.prn","2","cloud","3-6 CUSC 1500-2500 LOWERING 500-1000 IN SHOWERS LATER LIFTING TO 3-5 SC 2500-5000"
1080713513,"10Sep2000_02.prn","2","lightning","LOW (20-30 PER CENT) LATER FALLING NIL."
1080713514,"10Sep2000_02.prn","3","wind10M","NW 06-10 GRADUALLY VEERING NE BY EVENING"
1080713515,"10Sep2000_02.prn","3","wind50M","NW 10-14 GRADUALLY VEERING NE BY EVENING"
1080713516,"10Sep2000_02.prn","3","waveSigHeight","3.0-3.5 FALLING TO AROUND 2.5 BY EVENING"
1080713517,"10Sep2000_02.prn","3","waveMaxHeight","5.0-5.5 FALLING TO AROUND 4.0 BY EVENING"
1080713518,"10Sep2000_02.prn","3","weather","PARTLY CLOUDY/CLOUDY"
1080713519,"10Sep2000_02.prn","3","visibility","GOOD"
1080713520,"10Sep2000_02.prn","4","wind10M","NE 06-10 BACKING ENE 08-12 BY MIDDAY THEN VEERING ESE BY EVENING"
1080713521,"10Sep2000_02.prn","4","wind50M","NE 10-14 BACKING ENE 12-15 BY MIDDAY THEN VEERING ESE BY EVENING"
1080713522,"10Sep2000_02.prn","4","waveSigHeight","AROUND 2.5 FALLING AROUND 1.5 BY EVENING"
1080713523,"10Sep2000_02.prn","4","waveMaxHeight","AROUND 4.0 FALLING AROUND 2.5 BY EVENING"
1080713524,"10Sep2000_02.prn","4","weather","PARTLY CLOUDY/CLOUDY"
1080713525,"10Sep2000_02.prn","5A","wind10M","ESE-SE 08-12 INCREASING 18-22 BY MIDDAY WEDNESDAY AND 26-30 GUSTS 38 BY THURSDAY EVENING"
1080713526,"10Sep2000_02.prn","5A","waveSigHeight","SOON 1.0-1.5 FOR A SHORT TIME THEN GRADUALLY RISING TO AROUND 4.0 BY LATE THURSDAY EVENING"
1080713527,"10Sep2000_13.prn","2","wind10M","W-NW  8-12 EASING  8 OR LESS"
1080713528,"10Sep2000_13.prn","2","wind50M","W-NW 10-15 EAISNG 10 OR LESS"
1080713529,"10Sep2000_13.prn","2","waveSigHeight","3.0-3.5 FALLING AROUND 3.0"
1080713530,"10Sep2000_13.prn","2","waveMaxHeight","5.0-5.5 FALLING AROUND 5.0"
1080713531,"10Sep2000_13.prn","2","wavePeriod","8-11"
1080713532,"10Sep2000_13.prn","2","weather","SCATTERED SHOWERS DYING OUT"
1080713533,"10Sep2000_13.prn","2","visibility","OVER 10 REDUCED TO 4-6 IN SHOWERS"
1080713534,"10Sep2000_13.prn","2","temperature","8-11"
1080713535,"10Sep2000_13.prn","2","cloud","3-5 CUSC 2000-4000 BASE 1500 IN SHOWERS"
1080713536,"10Sep2000_13.prn","2","lightning","20 PERCENT FALLING NIL"
1080713537,"10Sep2000_13.prn","3","wind10M","W-NW  8 OR LESS, BECOMING VARIABLE"
1080713538,"10Sep2000_13.prn","3","wind50M","W-NW 10 OR LESS, BECOMING VARIABLE"
1080713539,"10Sep2000_13.prn","3","waveSigHeight","AROUND 3.0 FALLING AROUND 2.0"
1080713540,"10Sep2000_13.prn","3","waveMaxHeight","AROUND 5.0 FALLING AROUND 3.0"
1080713541,"10Sep2000_13.prn","3","weather","PARTLY CLOUDY"
1080713542,"10Sep2000_13.prn","3","visibility","GOOD"
1080713543,"10Sep2000_13.prn","4","wind10M","VARIABLE  8 OR LESS BECOMING E-SE, INCREASING  8-12 FOR A TIME"
1080713544,"10Sep2000_13.prn","4","wind50M","VARIABLE 10 OR LESS BECOMING E-SE, INCREASING 10-15 FOR A TIME"
1080713545,"10Sep2000_13.prn","4","waveSigHeight","AROUND 2.0 FALLING 1.0-1.5"
1080713546,"10Sep2000_13.prn","4","waveMaxHeight","AROUND 3.0 FALLING 1.5-2.5"
1080713547,"10Sep2000_13.prn","4","weather","PARTLY CLOUDY"
1080713548,"10Sep2000_13.prn","5A","wind10M","E-SE  8 OR LESS INCREASING SE-S 20-25 DURING WEDNESDAY AND BACKING SE-ESE 10-15 LATER THURSDAY"
1080713549,"10Sep2000_13.prn","5A","waveSigHeight","1.0-1.5 RISING AROUND 3.0 FOR A TIME, LATER FALLING AROUND 2.5"
1080713550,"10Sep2000_14.prn","2","wind10M","W-NW  8-12 EASING  8 OR LESS"
1080713551,"10Sep2000_14.prn","2","wind50M","W-NW 10-15 EAISNG 10 OR LESS"
1080713552,"10Sep2000_14.prn","2","waveSigHeight","3.0-3.5 FALLING AROUND 3.0"
1080713553,"10Sep2000_14.prn","2","waveMaxHeight","5.0-5.5 FALLING AROUND 5.0"
1080713554,"10Sep2000_14.prn","2","wavePeriod","8-11"
1080713555,"10Sep2000_14.prn","2","weather","SCATTERED SHOWERS DYING OUT"
1080713556,"10Sep2000_14.prn","2","visibility","OVER 10 REDUCED TO 4-6 IN SHOWERS"
1080713557,"10Sep2000_14.prn","2","temperature","8-11"
1080713558,"10Sep2000_14.prn","2","cloud","3-5 CUSC 2000-4000 BASE 1500 IN SHOWERS"
1080713559,"10Sep2000_14.prn","2","lightning","20 PERCENT FALLING NIL"
1080713560,"10Sep2000_14.prn","3","wind10M","W-NW  8 OR LESS, BECOMING VARIABLE"
1080713561,"10Sep2000_14.prn","3","wind50M","W-NW 10 OR LESS, BECOMING VARIABLE"
1080713562,"10Sep2000_14.prn","3","waveSigHeight","AROUND 3.0 FALLING AROUND 2.0"
1080713563,"10Sep2000_14.prn","3","waveMaxHeight","AROUND 5.0 FALLING AROUND 3.0"
1080713564,"10Sep2000_14.prn","3","weather","PARTLY CLOUDY"
1080713565,"10Sep2000_14.prn","3","visibility","GOOD"
1080713566,"10Sep2000_14.prn","4","wind10M","VARIABLE  8 OR LESS BECOMING E-SE, INCREASING  8-12 FOR A TIME"
1080713567,"10Sep2000_14.prn","4","wind50M","VARIABLE 10 OR LESS BECOMING E-SE, INCREASING 10-15 FOR A TIME"
1080713568,"10Sep2000_14.prn","4","waveSigHeight","AROUND 2.0 FALLING 1.0-1.5"
1080713569,"10Sep2000_14.prn","4","waveMaxHeight","AROUND 3.0 FALLING 1.5-2.5"
1080713570,"10Sep2000_14.prn","4","weather","PARTLY CLOUDY"
1080713571,"10Sep2000_14.prn","5A","wind10M","E-SE  8 OR LESS INCREASING SE-S 20-25 DURING WEDNESDAY AND BACKING SE-ESE 10-15 LATER THURSDAY"
