"filename","ftime","timetext","winddir","windspeed","gust10m","gust50m","sigwave","waveperiod","swelldir","swellheight","swellperiod"
"10Apr2001_14.tab",13/4/2001 13:00:00,"13/12","SSE",11,13,17,2.00,3.20,"N",1.90,8
"10Apr2002_03.tab",10/4/2002 07:00:00,"10/06","SSW",28,35,43,3.50,5.60,"SSW",1.40,9
"10Apr2002_03.tab",10/4/2002 10:00:00,"10/09","SSW",26,32,40,3.30,5.30,"SSW",2.20,9
"10Apr2002_03.tab",10/4/2002 13:00:00,"10/12","SSW",24,30,37,3.20,5.10,"SSW",2.00,9
"10Apr2002_03.tab",10/4/2002 16:00:00,"10/15","SW",20,25,31,2.80,4.50,"SW",2.00,9
"10Apr2002_03.tab",10/4/2002 19:00:00,"10/18","SW",16,20,25,2.60,4.20,"SW",2.10,8
"10Apr2002_03.tab",10/4/2002 22:00:00,"10/21","SW",12,15,18,2.40,3.80,"WSW",2.10,8
"10Apr2002_03.tab",11/4/2002 01:00:00,"11/00","SW",10,12,15,2.40,3.80,"WSW",2.20,8
"10Apr2002_03.tab",11/4/2002 04:00:00,"11/03","SW",8,10,12,2.40,3.80,"WSW",2.30,8
"10Apr2002_03.tab",11/4/2002 07:00:00,"11/06","SSW",8,10,12,2.60,4.10,"WSW",2.40,8
"10Apr2002_03.tab",11/4/2002 10:00:00,"11/09","S",8,10,12,2.80,4.40,"WSW",2.50,9
"10Apr2002_03.tab",11/4/2002 13:00:00,"11/12","S",10,12,15,3.00,4.80,"WSW",2.60,9
"10Apr2002_03.tab",11/4/2002 16:00:00,"11/15","S",14,17,21,3.20,5.10,"W",2.70,10
"10Apr2002_03.tab",11/4/2002 19:00:00,"11/18","S",16,20,25,3.40,5.40,"W",2.90,10
"10Apr2002_03.tab",11/4/2002 22:00:00,"11/21","SSW",18,22,27,3.60,5.70,"W",2.90,11
"10Apr2002_03.tab",12/4/2002 01:00:00,"12/00","SW",16,20,25,3.60,5.70,"WNW",3.20,11
"10Apr2002_03.tab",12/4/2002 04:00:00,"12/03","W",12,15,18,3.60,5.70,"WNW",3.20,11
"10Apr2002_03.tab",12/4/2002 07:00:00,"12/06","NW",18,22,27,3.60,5.70,"WNW",3.30,11
"10Apr2002_03.tab",12/4/2002 10:00:00,"12/09","NW",20,25,31,3.50,5.60,"WNW",3.20,11
"10Apr2002_03.tab",12/4/2002 13:00:00,"12/12","NNW",22,27,33,3.60,5.70,"WNW",3.10,11
"10Apr2002_03.tab",12/4/2002 16:00:00,"12/15","N",24,30,37,3.50,5.60,"NW",3.10,11
"10Apr2002_03.tab",12/4/2002 19:00:00,"12/18","N",22,27,33,3.50,5.60,"NW",3.10,11
"10Apr2002_03.tab",12/4/2002 22:00:00,"12/21","N",20,25,31,3.50,5.60,"NW",3.10,11
"10Apr2002_03.tab",13/4/2002 01:00:00,"13/00","N",16,20,25,3.50,5.60,"NW",3.20,11
"10Apr2002_14.tab",10/4/2002 19:00:00,"10/18","SW",18,22,27,2.80,4.40,"SW",2.60,7
"10Apr2002_14.tab",10/4/2002 22:00:00,"10/21","SW",16,20,25,2.50,4.00,"WSW",2.40,7
"10Apr2002_14.tab",11/4/2002 01:00:00,"11/00","WSW",12,15,18,2.30,3.60,"WSW",2.20,8
"10Apr2002_14.tab",11/4/2002 04:00:00,"11/03","SW",11,13,16,2.20,3.50,"WSW",2.10,8
"10Apr2002_14.tab",11/4/2002 07:00:00,"11/06","S",10,12,15,2.10,3.30,"W",2.00,9
"10Apr2002_14.tab",11/4/2002 10:00:00,"11/09","S",10,12,15,2.10,3.40,"W",2.00,10
"10Apr2002_14.tab",11/4/2002 13:00:00,"11/12","S",12,15,18,2.30,3.70,"W",2.20,10
"10Apr2002_14.tab",11/4/2002 16:00:00,"11/15","SSW",10,12,15,2.60,4.20,"WSW",2.50,10
"10Apr2002_14.tab",11/4/2002 19:00:00,"11/18","WSW",9,11,13,2.90,4.60,"WSW",2.80,10
"10Apr2002_14.tab",11/4/2002 22:00:00,"11/21","NW",8,10,12,3.00,4.80,"WSW",2.90,10
"10Apr2002_14.tab",12/4/2002 01:00:00,"12/00","NW",14,17,21,3.00,4.80,"W",2.80,10
"10Apr2002_14.tab",12/4/2002 04:00:00,"12/03","NNW",14,17,21,3.10,5.00,"WNW",2.80,10
"10Apr2002_14.tab",12/4/2002 07:00:00,"12/06","N",14,17,21,3.10,5.00,"WNW",2.80,10
"10Apr2002_14.tab",12/4/2002 10:00:00,"12/09","N",14,17,21,3.10,5.00,"NW",2.80,10
"10Apr2002_14.tab",12/4/2002 13:00:00,"12/12","N",15,18,23,3.00,4.80,"NW",2.70,10
"10Apr2002_14.tab",12/4/2002 16:00:00,"12/15","N",14,17,21,3.10,5.00,"NW",2.80,10
"10Apr2002_14.tab",12/4/2002 19:00:00,"12/18","N",12,15,18,3.10,5.00,"NNW",2.90,10
"10Apr2002_14.tab",12/4/2002 22:00:00,"12/21","N",10,12,15,3.00,4.80,"NNW",2.80,10
"10Apr2002_14.tab",13/4/2002 01:00:00,"13/00","N",8,10,12,2.80,4.50,"NNW",2.70,10
"10Apr2002_14.tab",13/4/2002 04:00:00,"13/03","NNE",8,10,12,2.70,4.30,"NNW",2.60,10
"10Apr2002_14.tab",13/4/2002 07:00:00,"13/06","NE",8,10,12,2.60,4.20,"NNW",2.50,10
"10Apr2002_14.tab",13/4/2002 10:00:00,"13/09","NE",8,10,12,2.50,4.00,"NNW",2.40,10
"10Apr2002_14.tab",13/4/2002 13:00:00,"13/12","ENE",7,8,10,2.40,3.80,"NNW",2.30,10
"10Aug2000_11.tab",10/8/2000 19:00:00,"10/18","NE",16,20,24,1.50,2.40,"NE",0.70,8
"10Aug2000_11.tab",10/8/2000 22:00:00,"10/21","NNE",16,20,24,1.50,2.40,"NNE",0.60,8
"10Aug2000_11.tab",11/8/2000 01:00:00,"11/00","NNE",15,18,23,1.50,2.40,"NNE",0.80,8
"10Aug2000_11.tab",11/8/2000 04:00:00,"11/03","N",12,15,18,1.50,2.40,"N",1.20,6
"10Aug2000_11.tab",11/8/2000 07:00:00,"11/06","N",10,12,15,1.40,2.20,"N",1.20,6
"10Aug2000_11.tab",11/8/2000 10:00:00,"11/09","N",7,8,10,1.20,1.90,"N",1.20,6
"10Aug2000_11.tab",11/8/2000 13:00:00,"11/12","NNW",5,6,7,1.10,1.80,"N",1.10,6
"10Aug2000_11.tab",11/8/2000 16:00:00,"11/15","NW",3,3,4,1.10,1.80,"N",1.10,6
"10Aug2000_11.tab",11/8/2000 19:00:00,"11/18","WNW",2,2,3,1.10,1.80,"NNW",1.10,6
"10Aug2000_11.tab",11/8/2000 22:00:00,"11/21","W",1,1,1,1.00,1.60,"NNW",1.00,6
"10Aug2000_11.tab",12/8/2000 01:00:00,"12/00","SW",1,1,1,1.00,1.60,"NNW",1.00,6
"10Aug2000_11.tab",12/8/2000 04:00:00,"12/03","SSW",1,1,1,1.00,1.60,"NNW",1.00,6
"10Aug2000_11.tab",12/8/2000 07:00:00,"12/06","S",2,2,3,1.00,1.60,"NW",1.00,6
"10Aug2000_11.tab",12/8/2000 10:00:00,"12/09","S",4,5,6,0.90,1.40,"NW",0.90,6
"10Aug2000_11.tab",12/8/2000 13:00:00,"12/12","S",6,7,9,0.90,1.40,"NW",0.90,6
"10Aug2000_11.tab",12/8/2000 16:00:00,"12/15","S",7,8,10,0.80,1.30,"NNW",0.80,6
"10Aug2000_11.tab",12/8/2000 19:00:00,"12/18","S",8,10,12,0.80,1.30,"NNW",0.70,6
"10Aug2000_11.tab",12/8/2000 22:00:00,"12/21","S",10,12,15,0.80,1.30,"NNW",0.60,6
"10Aug2000_11.tab",13/8/2000 01:00:00,"13/00","S",11,13,17,0.90,1.40,"NW",0.60,6
"10Aug2000_11.tab",13/8/2000 04:00:00,"13/03","S",12,15,18,1.00,1.60,"W",0.60,6
"10Aug2000_11.tab",13/8/2000 07:00:00,"13/06","S",12,15,18,1.10,1.80,"WSW",0.70,14
"10Aug2000_11.tab",13/8/2000 10:00:00,"13/09","S",12,15,18,1.20,1.90,"WSW",0.80,14
"10Aug2000_11.tab",13/8/2000 13:00:00,"13/12","SSE",12,15,18,1.30,2.10,"WSW",0.90,14
"10Aug2000_11.tab",13/8/2000 16:00:00,"13/15","SSE",11,13,17,1.30,2.10,"WSW",1.00,14
"10Aug2000_11.tab",13/8/2000 19:00:00,"13/18","SSE",10,12,15,1.20,1.90,"WSW",1.00,14
"10Aug2000_11.tab",13/8/2000 22:00:00,"13/21","SSE",8,10,12,1.10,1.80,"WSW",1.10,14
"10Aug2000_11.tab",14/8/2000 01:00:00,"14/00","SSE",6,7,9,1.10,1.80,"WSW",1.10,13
"10Aug2000_11.tab",14/8/2000 04:00:00,"14/03","SSE",5,6,7,1.10,1.80,"WSW",1.10,13
"10Aug2000_11.tab",14/8/2000 07:00:00,"14/06","SSE",4,5,6,1.10,1.80,"WSW",1.10,13
"10Aug2000_11.tab",14/8/2000 10:00:00,"14/09","SSE",3,3,4,1.10,1.80,"WSW",1.10,13
"10Aug2000_11.tab",14/8/2000 13:00:00,"14/12","S",2,2,3,1.10,1.80,"WSW",1.10,13
"10Aug2000_11.tab",14/8/2000 16:00:00,"14/15","S",2,2,3,1.10,1.80,"WSW",1.10,11
"10Aug2000_11.tab",14/8/2000 19:00:00,"14/18","SSE",3,3,4,1.10,1.80,"WSW",1.10,11
"10Aug2000_11.tab",14/8/2000 22:00:00,"14/21","SE",4,5,6,1.10,1.80,"WSW",1.10,11
"10Aug2000_11.tab",15/8/2000 01:00:00,"15/00","ESE",6,7,9,1.10,1.80,"WSW",1.10,11
"10Aug2000_11.tab",15/8/2000 04:00:00,"15/03","ESE",8,10,12,1.10,1.80,"WSW",1.00,10
"10Aug2000_11.tab",15/8/2000 07:00:00,"15/06","SE",10,12,15,1.20,1.90,"WSW",1.00,10
"10Aug2000_11.tab",15/8/2000 10:00:00,"15/09","SE",14,17,21,1.30,2.10,"WSW",1.00,10
"10Aug2000_11.tab",15/8/2000 13:00:00,"15/12","SE",17,21,26,1.60,2.60,"WSW",0.90,10
"10Aug2000_11.tab",15/8/2000 16:00:00,"15/15","SE",17,21,26,1.60,2.60,"SW",0.80,10
"10Aug2000_11.tab",15/8/2000 19:00:00,"15/18","SE",16,20,24,1.60,2.60,"SW",0.80,9
"10Aug2000_11.tab",15/8/2000 22:00:00,"15/21","SE",15,18,23,1.60,2.60,"SSW",0.90,9
"10Aug2000_11.tab",16/8/2000 01:00:00,"16/00","SE",15,18,23,1.60,2.60,"SSW",0.90,9
"10Aug2000_11.tab",16/8/2000 04:00:00,"16/03","SE",14,17,21,1.50,2.40,"SSW",1.00,8
"10Aug2000_11.tab",16/8/2000 07:00:00,"16/06","SSE",14,17,21,1.60,2.60,"SSW",1.00,8
"10Aug2000_11.tab",16/8/2000 10:00:00,"16/09","SSE",15,18,23,1.60,2.60,"SSW",1.00,8
"10Aug2000_11.tab",16/8/2000 13:00:00,"16/12","SSE",19,23,29,1.70,2.70,"SSW",0.70,8
"10Aug2000_11.tab",16/8/2000 16:00:00,"16/15","SSE",17,21,26,1.70,2.70,"S",0.60,9
"10Aug2000_11.tab",16/8/2000 19:00:00,"16/18","SSE",14,17,21,1.70,2.70,"S",1.20,6
"10Aug2000_11.tab",16/8/2000 22:00:00,"16/21","SSE",12,15,18,1.70,2.70,"S",1.40,6
"10Aug2000_11.tab",17/8/2000 01:00:00,"17/00","SSE",11,13,17,1.70,2.70,"SSW",1.50,7
"10Aug2000_11.tab",17/8/2000 04:00:00,"17/03","SSE",10,12,15,1.60,2.60,"SSW",1.50,7
"10Aug2000_11.tab",17/8/2000 07:00:00,"17/06","SE",9,11,14,1.60,2.60,"SSW",1.50,7
"10Aug2000_11.tab",17/8/2000 10:00:00,"17/09","SE",8,10,12,1.50,2.40,"SSW",1.40,7
"10Aug2000_11.tab",17/8/2000 13:00:00,"17/12","SE",8,10,12,1.40,2.20,"SSW",1.40,7
"10Aug2000_23.tab",11/8/2000 07:00:00,"11/06","N",10,12,15,1.40,2.20,"NNE",1.20,6
"10Aug2000_23.tab",11/8/2000 10:00:00,"11/09","N",9,11,14,1.30,2.10,"NNE",1.20,6
"10Aug2000_23.tab",11/8/2000 13:00:00,"11/12","NNW",6,7,9,1.20,1.90,"NNE",1.10,6
"10Aug2000_23.tab",11/8/2000 16:00:00,"11/15","NW",5,6,7,1.10,1.80,"N",1.10,6
"10Aug2000_23.tab",11/8/2000 19:00:00,"11/18","WNW",3,3,4,1.10,1.80,"N",1.10,6
"10Aug2000_23.tab",11/8/2000 22:00:00,"11/21","W",2,2,3,1.10,1.80,"NNW",1.10,6
"10Aug2000_23.tab",12/8/2000 01:00:00,"12/00","SW",2,2,3,1.00,1.60,"NNW",1.00,6
"10Aug2000_23.tab",12/8/2000 04:00:00,"12/03","SSW",3,3,4,1.00,1.60,"NNW",1.00,6
"10Aug2000_23.tab",12/8/2000 07:00:00,"12/06","S",6,7,9,1.00,1.60,"NW",1.00,6
"10Aug2000_23.tab",12/8/2000 10:00:00,"12/09","S",7,8,10,1.00,1.60,"NW",0.90,6
"10Aug2000_23.tab",12/8/2000 13:00:00,"12/12","S",10,12,15,1.00,1.60,"NW",0.90,6
"10Aug2000_23.tab",12/8/2000 16:00:00,"12/15","S",12,15,18,1.00,1.60,"NNW",0.70,6
"10Aug2000_23.tab",12/8/2000 19:00:00,"12/18","S",14,17,21,1.20,1.90,"NNW",0.60,6
"10Aug2000_23.tab",12/8/2000 22:00:00,"12/21","S",16,20,24,1.40,2.20,"S",0.30,7
"10Aug2000_23.tab",13/8/2000 01:00:00,"13/00","S",17,21,26,1.40,2.20,"S",0.20,8
"10Aug2000_23.tab",13/8/2000 04:00:00,"13/03","S",16,20,24,1.50,2.40,"S",0.30,8
"10Aug2000_23.tab",13/8/2000 07:00:00,"13/06","S",13,16,20,1.50,2.40,"SSW",1.10,6
"10Aug2000_23.tab",13/8/2000 10:00:00,"13/09","S",10,12,15,1.40,2.20,"SSW",1.20,6
"10Aug2000_23.tab",13/8/2000 13:00:00,"13/12","SSW",7,8,10,1.20,1.90,"SSW",1.20,6
"10Aug2000_23.tab",13/8/2000 16:00:00,"13/15","S",6,7,9,1.20,1.90,"SW",1.20,6
"10Aug2000_23.tab",13/8/2000 19:00:00,"13/18","S",6,7,9,1.20,1.90,"SW",1.10,6
"10Aug2000_23.tab",13/8/2000 22:00:00,"13/21","SSE",6,7,9,1.10,1.80,"WSW",1.10,13
"10Aug2000_23.tab",14/8/2000 01:00:00,"14/00","SSE",6,7,9,1.10,1.80,"WSW",1.10,13
"10Aug2000_23.tab",14/8/2000 04:00:00,"14/03","SSE",5,6,7,1.00,1.60,"WSW",1.00,13
"10Aug2000_23.tab",14/8/2000 07:00:00,"14/06","SSE",3,3,4,1.00,1.60,"WSW",1.00,13
"10Aug2000_23.tab",14/8/2000 10:00:00,"14/09","S",2,2,3,0.90,1.40,"WSW",0.90,13
"10Aug2000_23.tab",14/8/2000 13:00:00,"14/12","S",2,2,3,0.90,1.40,"WSW",0.90,13
"10Aug2000_23.tab",14/8/2000 16:00:00,"14/15","SE",2,2,3,0.90,1.40,"WSW",0.90,11
"10Aug2000_23.tab",14/8/2000 19:00:00,"14/18","SE",3,3,4,0.90,1.40,"WSW",0.90,11
"10Aug2000_23.tab",14/8/2000 22:00:00,"14/21","ESE",4,5,6,0.90,1.40,"WSW",0.90,11
"10Aug2000_23.tab",15/8/2000 01:00:00,"15/00","ESE",6,7,9,0.90,1.40,"WSW",0.90,11
"10Aug2000_23.tab",15/8/2000 04:00:00,"15/03","ESE",7,8,10,1.00,1.60,"WSW",0.90,10
"10Aug2000_23.tab",15/8/2000 07:00:00,"15/06","SE",10,12,15,1.10,1.80,"W",0.90,10
"10Aug2000_23.tab",15/8/2000 10:00:00,"15/09","SE",14,17,21,1.30,2.10,"W",0.90,10
"10Aug2000_23.tab",15/8/2000 13:00:00,"15/12","SE",17,21,26,1.60,2.60,"WSW",0.90,10
"10Aug2000_23.tab",15/8/2000 16:00:00,"15/15","SE",17,21,26,1.60,2.60,"SW",0.80,10
"10Aug2000_23.tab",15/8/2000 19:00:00,"15/18","SE",16,20,24,1.60,2.60,"SW",0.70,9
"10Aug2000_23.tab",15/8/2000 22:00:00,"15/21","SE",16,20,24,1.60,2.60,"SW",0.70,9
"10Aug2000_23.tab",16/8/2000 01:00:00,"16/00","SE",15,18,23,1.60,2.60,"SSW",0.90,9
"10Aug2000_23.tab",16/8/2000 04:00:00,"16/03","SSE",15,18,23,1.60,2.60,"SSW",0.90,9
"10Aug2000_23.tab",16/8/2000 07:00:00,"16/06","SSE",16,20,24,1.60,2.60,"SSW",0.80,8
"10Aug2000_23.tab",16/8/2000 10:00:00,"16/09","SSE",17,21,26,1.70,2.70,"SSW",0.70,9
"10Aug2000_23.tab",16/8/2000 13:00:00,"16/12","SSE",19,23,29,1.90,3.00,"SSW",0.60,9
"10Aug2000_23.tab",16/8/2000 16:00:00,"16/15","SSE",17,21,26,1.90,3.00,"S",0.80,9
"10Aug2000_23.tab",16/8/2000 19:00:00,"16/18","SSE",14,17,21,1.80,2.90,"S",1.40,7
"10Aug2000_23.tab",16/8/2000 22:00:00,"16/21","SSE",12,15,18,1.90,3.00,"S",1.60,7
"10Aug2000_23.tab",17/8/2000 01:00:00,"17/00","SSE",11,13,17,1.80,2.90,"SSW",1.70,7
"10Aug2000_23.tab",17/8/2000 04:00:00,"17/03","SSE",10,12,15,1.80,2.90,"SSW",1.60,7
"10Aug2000_23.tab",17/8/2000 07:00:00,"17/06","SE",10,12,15,1.70,2.70,"SSW",1.60,7
"10Aug2000_23.tab",17/8/2000 10:00:00,"17/09","SE",9,11,14,1.60,2.60,"SSW",1.50,7
"10Aug2000_23.tab",17/8/2000 13:00:00,"17/12","SE",8,10,12,1.50,2.40,"SSW",1.40,7
"10Aug2000_23.tab",17/8/2000 16:00:00,"17/15","SE",7,8,10,1.40,2.20,"S",1.30,7
"10Aug2000_23.tab",17/8/2000 19:00:00,"17/18","SE",7,8,10,1.30,2.10,"S",1.30,7
"10Aug2000_23.tab",17/8/2000 22:00:00,"17/21","SE",7,8,10,1.30,2.10,"S",1.20,6
"10Aug2000_23.tab",18/8/2000 01:00:00,"18/00","SE",6,7,9,1.20,1.90,"S",1.20,6
"10Aug2001_13.tab",10/8/2001 19:00:00,"10/18","WNW",11,13,17,1.70,2.70,"NW",1.50,7
"10Aug2001_13.tab",10/8/2001 22:00:00,"10/21","W",8,10,12,1.50,2.40,"NW",1.40,7
"10Aug2001_13.tab",11/8/2001 01:00:00,"11/00","W",7,8,10,1.40,2.20,"NW",1.40,7
"10Aug2001_13.tab",11/8/2001 04:00:00,"11/03","SW",7,8,10,1.40,2.20,"NW",1.30,7
"10Aug2001_13.tab",11/8/2001 07:00:00,"11/06","SW",7,8,10,1.30,2.10,"NW",1.30,7
"10Aug2001_13.tab",11/8/2001 10:00:00,"11/09","SSW",10,12,15,1.30,2.10,"NW",1.20,7
"10Aug2001_13.tab",11/8/2001 13:00:00,"11/12","S",14,17,21,1.50,2.40,"NW",1.20,7
"10Aug2001_13.tab",11/8/2001 16:00:00,"11/15","S",20,25,31,1.80,2.90,"WNW",1.30,7
"10Aug2001_13.tab",11/8/2001 19:00:00,"11/18","S",22,27,34,1.90,3.00,"SW",1.50,8
"10Aug2001_13.tab",11/8/2001 22:00:00,"11/21","S",24,30,37,2.30,3.70,"S",1.70,8
"10Aug2001_13.tab",12/8/2001 01:00:00,"12/00","S",28,35,43,3.00,4.80,"S",1.90,8
"10Aug2001_13.tab",12/8/2001 04:00:00,"12/03","S",28,35,43,3.00,4.80,"S",1.90,8
"10Aug2001_13.tab",12/8/2001 07:00:00,"12/06","SW",27,33,41,3.00,4.80,"S",2.00,8
"10Aug2001_13.tab",12/8/2001 10:00:00,"12/09","WSW",26,32,40,2.90,4.60,"SSW",2.00,8
"10Aug2001_13.tab",12/8/2001 13:00:00,"12/12","WSW",25,31,39,2.90,4.60,"SW",2.00,8
"10Aug2001_13.tab",12/8/2001 16:00:00,"12/15","WSW",25,31,39,2.90,4.60,"WSW",2.00,8
"10Aug2001_13.tab",12/8/2001 19:00:00,"12/18","WSW",24,30,37,3.10,5.00,"WSW",2.10,8
"10Aug2001_13.tab",12/8/2001 22:00:00,"12/21","SW",23,28,35,2.90,4.60,"WSW",2.20,9
"10Aug2001_13.tab",13/8/2001 01:00:00,"13/00","SW",21,26,32,2.80,4.50,"WSW",2.30,9
"10Aug2001_13.tab",13/8/2001 04:00:00,"13/03","SW",19,23,29,2.40,3.80,"WSW",2.10,8
"10Aug2001_13.tab",13/8/2001 07:00:00,"13/06","SSW",19,23,29,2.20,3.50,"SW",2.00,8
"10Aug2001_13.tab",13/8/2001 10:00:00,"13/09","SSW",20,25,31,2.20,3.50,"SSW",1.90,8
"10Aug2001_13.tab",13/8/2001 13:00:00,"13/12","SSW",21,26,32,2.40,3.80,"SSW",1.80,8
"10Dec2001_02.tab",10/12/2001 06:00:00,"10/06","SW",12,15,18,2.00,3.20,"W",1.70,10
"10Dec2001_02.tab",10/12/2001 09:00:00,"10/09","SW",12,15,18,1.80,2.80,"W",1.60,10
"10Dec2001_02.tab",10/12/2001 12:00:00,"10/12","SW",10,12,15,1.60,2.50,"WNW",1.40,10
"10Dec2001_02.tab",10/12/2001 15:00:00,"10/15","SW",9,11,14,1.50,2.40,"WNW",1.30,10
"10Dec2001_02.tab",10/12/2001 18:00:00,"10/18","SW",9,11,14,1.40,2.20,"WNW",1.20,10
"10Dec2001_02.tab",10/12/2001 21:00:00,"10/21","SW",9,11,14,1.30,2.00,"NW",1.10,10
"10Dec2001_02.tab",11/12/2001 00:00:00,"11/00","SW",9,11,14,1.20,1.90,"NW",1.00,10
"10Dec2001_02.tab",11/12/2001 03:00:00,"11/03","SW",9,11,14,1.10,1.80,"NW",1.00,10
"10Dec2001_02.tab",11/12/2001 06:00:00,"11/06","SW",9,11,14,1.00,1.60,"NW",0.90,10
"10Dec2001_02.tab",11/12/2001 09:00:00,"11/09","SW",9,11,14,0.90,1.40,"NW",0.80,10
"10Dec2001_02.tab",11/12/2001 12:00:00,"11/12","SW",9,11,14,0.90,1.40,"NW",0.70,10
"10Dec2001_02.tab",11/12/2001 15:00:00,"11/15","SW",10,12,15,0.90,1.40,"NW",0.60,10
