"filename","author","forecasttime","ftype","section1"
"10Jan2002_14.prn","F2",10/1/2002 12:00:00,"normal","1.INFERENCE 1200 GMT, THURSDAY,         10-Jan   2002 LARGE AREA OF HIGH PRESSURE OVER CENTRAL EUROPE WILL DRIFT VERY SLOWLY SOUTHEASTWARDS. SHALLOW LOW OVER SW ENGLAND WILL MOVE NORTHEASTWARDS TO BE OVER THE SOUTHERN NORTH SEA BY FRIDAY AFTERNOON, FILLING AS IT MOVES EAST OVER NORTHERN GERMANY ON SATURDAY. A DEPRESSION OVER ICELAND WILL MOVE QUICKLY NORTHEAST TO NORTHERN SCANDINAVIA WHILE A DEPRESSION DEVELOPING OVER THE MID-ATLANTIC MOVES NORTEASTWARDS TO BE 992MB WEST OF SCOTLAND BY SATURDAY AFTERNOON."
"10Jul2000.prn","F1",10/7/2000 04:00:00,"normal","1.INFERENCE 0300 GMT, MONDAY,           10-Jul   2000 LOW CENTRED OVER THE SOUTHERN/CENTRAL NORTH SEA WILL BE NEAR STATIONARY TODAY AND WILL WEAKEN AND DRIFT EAST LATER TOMORROW. A RIDGE FROM MID ATLANTIC TO THE NORWEGIAN SEA WILL MOVE SLOWLY ESE TO BE OVER THE NORTH SEA BY MIDDAY WEDNESDAY. A FRONT WILL MOVE EAST TO BE FROM SHETLAND TO SOUTHERN ENGLAND BY LATER WEDNESDAY."
"10Jul2001_03.prn","F3",10/7/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, TUESDAY,          10-Jul   2001 THE RIDGE OF HIGH PRESSURE OVER THE NORTH SEA/EAST SHETLAND BASIN WILL DECLINE AND MOVE EAST AHEAD OF AN ATLANTIC LOW,PRESENTLY (989 MB),58N 16W EXPECTED (991 MB) OVER THE MORAY FIRTH BY LATE THIS EVENING THEN (995 MB) OFF SW NORWAY BY LATE WEDNESDAY BEFORE MOVING NNE ALONG THE NORWEGIAN COAST.LOW (1002 MB),OVER THE SOUTHERN BALTIC SEA,WILL MOVE NNW-NW EXPECTED OVER CENTRAL SCANDINAVIA (1000 MB) BY LATE THIS EVENING AND (997 MB) OVER THE LOFOTEN ISLANDS BY LATE WEDNESDAY."
"10Jul2001_15.prn","F4",10/7/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, TUESDAY,          10-Jul   2001 WEAK RIDGE OF HIGH PRESSURE, OVER NORWAY AND DENMARK, WILL DECLINE. COMPLEX ATLANTIC LOW, WILL MOVE EAST ACROSS SCOTLAND TONIGHT TO BECOME SLOW MOVING OVER THE NORTHERN NORTH SEA TOMORROW. FRONTAL TROUGH, PRESENTLY LYING FROM SCOTLAND TO CENTRAL ENGLAND, WILL MOVE EAST ACROSS THE NORTH SEA TONIGHT BUT BECOME SLOW MOVING OVER THE EAST SHETLAND BASIN. ASSOCIATED OCCLUSION WILL MOVE EAST ACROSS THE CENTRAL NORTH SEA DURING TOMORROW. -"
"10Mar2001_03.prn","F2",10/3/2001 03:00:00,"normal","1.INFERENCE 0300 GMT, SATURDAY,         10-Mar   2001 COMPLEX AREA OF LOW PRESSURE WILL PERSIST TO THE NORTHWEST OF SCOTLAND, WITH A SERIES OF WEAKENING FRONTAL TROUGHS MOVING NORTHEAST OVER THE NORTH SEA. A DEVELOPING DEPRESSION WILL MOVE QUICKLY NORTHEAST TO BE 988MB OVER SOUTHERN SCOTLAND BY EARLY MONDAY, BECOMING SLOWER MOVING ON TUESDAY AS IT MOVES EAST OVER THE NORTH SEA TO BE OVER DENMARK BY WEDNESDAY AFTERNON."
"10Mar2001_15.prn","F5",10/3/2001 12:00:00,"normal","1.INFERENCE 1200 GMT, SATURDAY,         10-Mar   2001 A DEEP LOW WILL PERSIST TO THE NW OF SCOTLAND FOR THE NEXT FEW DAYS, WITH A SERIES OF WEAK FRONTS MOVING NE ACROSS THE NORTH SEA. A SECONDARY LOW WILL MOVE ENE ACROSS CENTRAL ENGLAND TOMORROW AND THE CENTRAL NORTH SEA TOMORROW NIGHT WHILE A RIDGE BUILDS OVER THE NORTHERN NORTH SEA."
"10Mar2002_04.prn","F4",10/3/2002 03:00:00,"normal","1.INFERENCE 0300 GMT, SUNDAY,           10-Mar   2002 RIDGE OF HIGH PRESSURE, EXTENDING FROM JUST EAST OF ICELAND TO CENTRAL ENGLAND, WILL STEADILY DECLINE NE'WARDS. DEEPENING ATLANTIC LOW EXPECTED 974MB JUST NW OF THE HEBRIDES BY MONDAY AFTERNOON, THEN 995MB NEAR BERGEN BY WEDNESDAY. ASSOCIATED FRONTAL SYSTEM WILL MOVE STEADILY NE'WARDS ACROSS THE BRITISH ISLES AND NORTH SEA BY LATER TONIGHT. -"
"10Mar2002_13.prn","F1",10/3/2002 12:00:00,"normal","1.INFERENCE 1200 GMT, SUNDAY,           10-Mar   2002 A LOW (964MB) AROUND  57N 21W  WILL MOVE SLOWLY ENE TO BE OFF CAPE WRATH (983MB) BY LATER TOMORROW AND WILL BE TO THE SW OF STAVANGER (999MB) BY LATER TUESDAY. THE ASSOCIATED WARM FRONT FROM NORTH SCOTLAND TO THE LOW COUNTRIES WILL MOVE ENE TONIGHT. THE OCCLUDED FRONT WILL MOVE NORTH AND WILL CLEAR THE NORTHERN NORTH SEA TOMORROW MORNING.  -"
"10May2001_02.prn","F3",10/5/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, THURSDAY,         10-May   2001 HIGH (1032 MB),STATIONARY NORTH OF SHETLAND,WILL GRADUALLY DECLINE HOWEVER A RIDGE WILL BUILD NW'WARDS ACROSS ICELAND AND SE'WARDS ACROSS THE NORTH SEA BY THIS EVENING,THEN HOLDING FOR THE NEXT 3 DAYS."
"10May2001_13.prn",,10/5/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, THURSDAY,         10-May   2001 HIGH 1032, NEAR FAEROES, WILL REMAIN SLOW MOVING. A NEW CELL IS EXPECTED TO DEVELOP OVER THE CENTRAL NORTH SEA BY EARLY SATURDAY."
"10May2002_03.prn","F3",10/5/2002 04:00:00,"normal","1.INFERENCE 0300 GMT, FRIDAY,           10-May   2002 HIGH (1030 MB),LOFOTEN ISLANDS,WILL DRIFT SE'WARDS INTO RUSSIA. LOW (1019 MB),ICELAND,WILL SLIP SE AND FILL.THE COMPLEX LOW PRESSURE AREA OVER THE SOUTHERN NORTH SEA AND FRANCE,WILL EXTEND NNW'WARDS WITH A LOW DEVELOPING NW OF SHETLAND (999 MB) BY LATE THIS EVENING,DEEPENING IN SITU TO (990 MB) BY MIDDAY SUNDAY,THEN GRADUALLY FILLING AND LATER DRIFTING NE.AN ATLANTIC LOW WILL  MOVE EAST THEN ENE,EXPECTED (995 MB) OVER THE IRISH SEA BY LATE MONDAY."
"10Nov2000_02.prn","F3",10/11/2000 03:00:00,"normal","1.INFERENCE 0300 GMT, FRIDAY,           10-Nov   2000 LOW (995 MB),OFF SW NORWAY,WILL DRIFT NE UP THE SKAGERRAK,FILLING THEN TRANSFERRING ACROSS SOUTHERN SWEDEN ON SATURDAY.THE SLACK COMPLEX LOW PRESSURE AREA ALONG THE NORWEGIAN SEA WILL PERSIST TODAY LOW (984 MB),DENMARK STRAIT,WILL MOVE SE,EXPECTED (984 MB) OFF NW IRELAND BY MIDDAY SATURDAY THEN SWINGING NE TO REACH THE EAST SHETLAND BASIN BY LATE SUNDAY EVENING.A SECONDARY LOW WILL FORM JUST NORTH OF SCOTLAND (990 MB) BY MIDDAY SATURDAY THEN DRIFTING SSW AND LATER SE TO LIE OFF NEWCASTLE BY LATE SUNDAY."
"10Nov2000_16.prn","F5",10/11/2000 12:00:00,"normal","1.INFERENCE 1200 GMT, FRIDAY,           10-Nov   2000 A DEEP LOW SOUTH OF ICELAND WILL MOVE SE TODAY THEN TURN EAST PAST NORTHERN IRELAND TOMORROW EVENING, CONTINUING NE ACROSS SCOTLAND INTO THE NORTHERN NORTH SEA ON SUNDAY. THE ASSOCIATED FRONT WILL CLEAR THE FAR NORTHERN NORTH SEA BY TOMORROW EVENING, WITH A WAVE RUNNING QUICKLY NNE THROUGH THE CENTRAL NORTH SEA TOMORROW NIGHT."
"10Nov2001_02.prn","F3",10/11/2001 03:00:00,"normal","1.INFERENCE 0300 GMT, SATURDAY,         10-Nov   2001 DEEP LOW (954 MB),DENMARK STRAIT,WILL DEEPEN AND MOVE NE THEN EAST,STARTING TO FILL LATER TODAY,EXPECTED (960 MB) OVER NORTHERN NORWAY BY MIDDAY SUNDAY,REACHING NW RUSSIA (982 MB) BY LATE MONDAY. HIGH (1037 MB) 48N 18W,WILL REMAIN SLOW MOVING AND WILL MAINTAIN A RIDGE EAST ACROSS NORTHERN FRANCE TODAY THROUGH SUNDAY. A FILLING ATLANTIC LOW IS EXPECTED (1009 MB) OVER CAPE WRATH BY LATE SUNDAY EVENING,MOVING SE ACROSS THE NORTH SEA AND FILLING DURING MONDAY."
"10Nov2001_14.prn","F2",10/11/2001 12:00:00,"normal","1.INFERENCE 1200 GMT, SATURDAY,         10-Nov   2001 DEEP DEPRESSION 946MB OVER THE GREENALD SEA WILL GRADUALLY FILL AS IT MOVES EASTWARDS OVER NORTHERN SCANDINAVIA, WITH ITS ASSOCIATED COLD FRONTAL TROUGH SWINGING SOUTHEAST OVER THE CENTRAL NORTH SEA OVERNIGHT, BECOMING SLOW MOVING AND RETURNING NORTHWARDS AS A DEVELOPING DEPRESSION RUNS RAPIDLY EASTWARDS OVER SCOTLAND SUNDAY NIGHT,TO BE OVER THE SOUTHERN BALTIC BY MONDAY AFTERNOON."
"10Oct2000_02.prn","F4",10/10/2000 04:00:00,"normal","1.INFERENCE 0300 GMT, TUESDAY,          10-Oct   2000 DEEP LOW 978MB, SOUTHERN SCOTLAND, WILL DRIFT WEST THEN SOUTH TO BE OVER SOUTHERN IRELAND BY TOMORROW AFTERNOON, THEN MOVE SW INTO THE WESTERN ENGLISH CHANNEL BY THURSDAY AFTERNOON. A NEW ATLANTIC LOW IS EXPECTED 980MB, JUST WEST OF IRELAND BY EARLY THIS AFTERNOON, THEN 967MB NEAR NEWCASTLE BY WEDNESDAY AFTERNOON, AND 984MB NEAR EDINBURGH BY THURSDAY AFTERNOON. A STRONG RIDGE OF HIGH PRESSURE WILL BUILD OVER MID ATLANTIC DURING WEDNESDAY. -"
"10Oct2000_16.prn","F5",10/10/2000 13:00:00,"normal","1.INFERENCE 1200 GMT, TUESDAY,          10-Oct   2000 A FRONT OVER THE CENTRAL NORTH SEA WILL MOVE NORTH ACROSS THE NORTHERN NORTH SEA THIS EVENING AND TONIGHT AS THE COMPLEX LOW OVER SOUTHERN SCOTLAND MOVES SLOWLY SW INTO IRELAND. A NEW LOW WILL CROSS SOUTHERN ENGLAND TONIGHT THEN TURN NORTH INTO THE NORTH SEA TOMORROW, WITH ITS FRONT MOVING NORTH ACROSS ALL AREAS TOMORROW NIGHT AND ON THURSDAY."
"10Oct2001_05.prn","F2",10/10/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, WEDNESDAY,        10-Oct   2001 FRONTAL TROUGH OVER THE NORTHERN NORTH SEA WILL MOVE SOUTHEASTWARDS CLEARING THE NORTH SEA BY EVENING. A DEEPENING FRONTAL WAVE WILL MOVE QUICKLY NORTHEASTWARDS TO BE 994MB JUST NORTH OF SHETLAND BY EALY FRIDAY, GRADUALLY FILLING AS IT MOVES NORTHEAST OVER CENTRAL NORWAY DURING FRIDAY AFTERNOON. ASSOCIATED WARM FRONTAL TROUGH WILL MOVE NORTHEASTWARDS OVER THE NORTH SEA THURSDAY, WITH THE FOLLOWING COLD FRONTAL TROUGH BECOMING SLOW MOVING OVER THE NORTH SEA LATER FRIDAY, GRADUALLY RETURNING NORTHWARDS ON SATURDAY."
"10Oct2001_14.prn","F1",10/10/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, WEDNESDAY,        10-Oct   2001 PRESSURE WILL REMAIN LOW TO THE NORTH AND NW OF ICELAND. PRESSURE WILL REMAIN RELATIVELY HIGH TO THE SOUTH OF THE BRITISH ISLES. A DEVELOPING FRONTAL WAVE WILL MOVE ENE AND WILL CROSS THE SE NORWEGIAN SEA LATER TOMORROW. THE ASSOCIATED WARM FRONT WILL MOVE NE ACROSS THE NORTHERN NORTH SEA TOMORROW. THE FOLLOWING COLD FRONT WILL MOVE ERRATICALLY ESE ACROSS THE NORTHERN NORTH SEA LATER TOMORROW AND FRIDAY.  -"
"10Sep2000_02.prn","F3",10/9/2000 04:00:00,"normal","1.INFERENCE 0300 GMT, SUNDAY,           10-Sep   2000 LOW (989 MB),SW OF THE LOFOTENS,WILL MOVE SLOWLY ENE TO REACH NORTHERN FINLAND EARLY MONDAY MORNING. A SHALLOW ATLANTIC LOW WILL MOVE NE,EXPECTED OVER EIRE (1017 MB) BY MIDDAY SUNDAY THEN DRIFTING EAST TO REACH THE GERMAN BIGHT (1012 MB) BY LATE MONDAY. A RIDGE OF HIGH PRESSURE WILL BUILD NORTHEAST FROM THE CENTRAL ATLANTIC FORMING A HIGH CELL (1023 MB) TO THE NORTH OF SCOTLAND BY LATE THIS EVENING,REACHING HALTENBANKEN,(1026 MB),BY MIDDAY TUESDAY WITH A RIDGE COVERING THE NORTH SEA ."
"10Sep2000_13.prn","F2",10/9/2000 13:00:00,"normal","1.INFERENCE 1200 GMT, SUNDAY,           10-Sep   2000 DEPRESSION OFF NORTHERN NORWAY WILL MOVE NORTHEAST. COMPLEX SHALLOW ARE OF LOW PRESSURE OVER IRELAND WILL MOVE GRADUALLY EAST OVER THE SOUTHERN NORTH SEA BY TUESDAY. HIGH PRESSURE BUILDING TO THE NW OF SCOTLAND WILL MOVE NORTHEAST TO BE 1026MB NORTH OF THE SHETLAND ISLES BY MONDAY AFTERNOON AND 1025MB OVER THE HALTENBANKEN BY WEDNESDAY. A COMPLEX SLOW MOVING AREA OF LOW PRESSURE OVER THE ATLANTIC LYING NORTH SOUTH WILL MOVE GRADUALLY EAST INTRODUCING A STRENGTHENING SOUTHERLY WINDFLOW TO THE NORTH SEA ON THURSDAY."
"10Sep2000_14.prn","F2",10/9/2000 13:00:00,"duplicate","1.INFERENCE 1200 GMT, SUNDAY,           10-Sep   2000 DEPRESSION OFF NORTHERN NORWAY WILL MOVE NORTHEAST. COMPLEX SHALLOW ARE OF LOW PRESSURE OVER IRELAND WILL MOVE GRADUALLY EAST OVER THE SOUTHERN NORTH SEA BY TUESDAY. HIGH PRESSURE BUILDING TO THE NW OF SCOTLAND WILL MOVE NORTHEAST TO BE 1026MB NORTH OF THE SHETLAND ISLES BY MONDAY AFTERNOON AND 1025MB OVER THE HALTENBANKEN BY WEDNESDAY. A COMPLEX SLOW MOVING AREA OF LOW PRESSURE OVER THE ATLANTIC LYING NORTH SOUTH WILL MOVE GRADUALLY EAST INTRODUCING A STRENGTHENING SOUTHERLY WINDFLOW TO THE NORTH SEA ON THURSDAY."
"10Sep2001_02.prn","F2",10/9/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, MONDAY,           10-Sep   2001 LOW 980,N OVER SOUTHERN SWEDEN WILL GRADUALLY FILL AS IT DRIFTS SLOWLY EASTWARDS. HIGH PRESSURE TO THE WEST OF IRELAND WILL DRIFT SLOWLY SOUTHEAST AND DECLINE AS A COMPLEX AREA OF LOW PRESSURE IN THE ICELAND AREA MOVES EAST WITH ITS ASSOCIATED FRONTAL TROUGH SWINGING EAST OVER THE NORTH SEA ON WEDNESDAY."
"10Sep2001_13.prn","F4",10/9/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, MONDAY,           10-Sep   2001 LOW 987MB, OVER THE BALTIC SEA, WILL FILL GRADUALLY DURING THE NEXT 60 HOURS. A RIDGE OF HIGH PRESSURE, LYING FROM SCOTLAND TO THE FAEROES WILL MOVE SOUTHEAST INTO THE NORTH SEA BY TOMORROW EVENING, THEN INTO SOUTHERN SCANDINAVIA ON WEDNESDAY. LOW, SOUTH OF ICELAND, EARLY ON WEDNESDAY, IS EXPECTED TO MOVE EAST INTO THE SOUTHERN NORWEGIAN SEA BY THURSDAY. ASSOCIATED FRONTAL TROUGH WILL MOVE EAST ACROSS THE EAST SHETLAND BASIN AND NORTH SEA DURING WEDNESDAY."
"11Apr2001_02.prn","F3",11/4/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, WEDNESDAY,        11-Apr   2001 LOW (1009 MB),CENTRAL GERMANY,WILL MOVE SE,FILLING.A LOW WILL DEVELOP OVER SOUTHERN SWEDEN (1018 MB) BY MIDDAY TODAY,DEEPENING THEN MOVING SE ON THURSDAY.THE RIDGE OF HIGH PRESSURE WEST OF THE U.K. WILL MOVE EAST TO COVER THE U.K. THURSDAY MORNING AND THE NORTH SEA BY MIDDAY FRIDAY."
"11Apr2001_14.prn","F4",11/4/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, WEDNESDAY,        11-Apr   2001 A COLD FRONT, OVER THE SOUTHERN NORWEGIAN SEA, WILL CONTINUE MOVING SOUTH TO THE CENTRAL NORTH SEA BY EARY TOMORROW MORNING, THEN INTO HOLLAND/GERMANY BY TOMORROW AFTERNOON. A LOW OVER SOUTHERN SWEDEN IS EXPECTED TO DEEPEN TONIGHT, THEN MOVE SOUTHEAST INTO POLAND LATER TOMORROW. A RIDGE OF HIGH PRESSURE WILL MOVE ESE ACROSS THE NORTH SEA DURING FRIDAY MORNING, THEN DECLINE AS AN ATLANTIC FRONT MOVES EAST INTO THE NORTH SEA BY SATURDAY. -"
"11Apr2002_04.prn","F3",11/4/2002 04:00:00,"normal","1.INFERENCE 0300 GMT, THURSDAY,         11-Apr   2002 THE RIDGE OF HIGH PRESSURE FROM SOUTHERN SCANDINAVIA TO CENTRAL ENGLAND WILL DECLINE AS THE SHALLOW LOW TO THE WEST OF THE HEBRIDES DRIFTS SLOWLY NE-NNE AND DEEPENS,REACHING THE LOFOTEN ISLANDS (1007 MB) BY MIDDAY FRIDAY.NE'LY WINDS WILL INCREASE IN THE SOUTHERN NORTH SEA LATER FRIDAY.A HIGH CELL WILL MOVE EAST TO THE NORTH OF ICELAND FRIDAY THROUGH SATURDAY,EXPECTED (1026 MB) OVER NORTHERN NORWAY BY LATE SATURDAY EVENING."
"11Apr2002_14.prn","F4",11/4/2002 13:00:00,"normal","1.INFERENCE 1200 GMT, THURSDAY,         11-Apr   2002 SHALLOW LOW 1011MB, JUST NE OF SHETLAND, WILL MOVE STEADILY NE INTO THE NORWEGIAN SEA BY LATER THIS EVENING. ASSOCIATED COLD FRONT, LYING FROM CENTRE TO WESTERN SCOTLAND, WILL WEAKEN AS IT MOVES SLOWLY ESE INTO NORWAY AND THE EASTERN NORTH SEA BY SATURDAY. RIDGE OF HIGH PRESSURE WILL GRADUALLY BUILD OVER FAEROES AND WEST SCOTLAND EARLY SATURDAY, DRIFTING SOUTHEAST INTO THE EAST SHETLAND BASIN AND EASTERN SCOTLAND BY SUNDAY. AN ATLANTIC FRONTAL TROUGH WILL APPROACH WESTERN SCOTLAND DURING SATURDAY. -"
