"forecast","AMPM","author","Section","Index","phrasep","timephrase","matchCount","matchQuality","matchTime"
"10Feb2002_04.prn","AM","F4","4",1,0,"null",3,2,18
"10Feb2002_13.prn","PM","F1","2",0,0,"null",0,0,-99
"10Feb2002_13.prn","PM","F1","2",1,0,"null",1,3,6
"10Feb2002_13.prn","PM","F1","3",0,0,"null",1,3,6
"10Feb2002_13.prn","PM","F1","3",1,1,"very soon",3,2,9
"10Feb2002_13.prn","PM","F1","3",2,1,"later",2,2,0
"10Feb2002_13.prn","PM","F1","4",0,0,"null",2,2,3
"10Feb2002_13.prn","PM","F1","4",1,0,"null",3,2,0
"10Jan2001_02.prn","AM","F3","2",0,0,"null",3,1,6
"10Jan2001_02.prn","AM","F3","2",1,1,"by late evening",2,2,0
"10Jan2001_02.prn","AM","F3","3",0,0,"null",7,1,0
"10Jan2001_02.prn","AM","F3","3",1,1,"by late evening",2,2,0
"10Jan2001_02.prn","AM","F3","4",0,0,"null",1,3,0
"10Jan2001_02.prn","AM","F3","4",1,1,"soon",1,3,6
"10Jan2001_02.prn","AM","F3","4",2,1,"by evening",2,2,0
"10Jan2001_12.prn","PM","F4","2",0,0,"null",2,2,18
"10Jan2001_12.prn","PM","F4","2",1,1,"by midnight",3,1,0
"10Jan2001_12.prn","PM","F4","3",0,0,"null",7,1,6
"10Jan2001_12.prn","PM","F4","3",1,1,"by mid afternoon",5,1,15
"10Jan2001_12.prn","PM","F4","3",2,1,"later",5,1,21
"10Jan2001_12.prn","PM","F4","4",0,0,"null",2,1,0
"10Jan2001_12.prn","PM","F4","4",1,1,"by late morning",2,1,9
"10Jan2001_12.prn","PM","F4","4",2,1,"by midnight",2,1,21
"10Jul2000.prn","AM","F1","2",0,0,"null",0,0,-99
"10Jul2000.prn","AM","F1","2",1,0,"null",2,2,15
"10Jul2000.prn","AM","F1","3",0,0,"null",1,3,9
"10Jul2000.prn","AM","F1","3",1,1,"later",3,1,21
"10Jul2000.prn","AM","F1","4",0,0,"null",2,2,0
"10Jul2000.prn","AM","F1","4",1,1,"by end of period",2,1,18
"10Jul2001_03.prn","AM","F3","2",0,0,"null",2,2,6
"10Jul2001_03.prn","AM","F3","2",1,1,"by late evening",2,2,0
"10Jul2001_03.prn","AM","F3","3",0,0,"null",3,1,3
"10Jul2001_03.prn","AM","F3","3",1,1,"soon",3,1,3
"10Jul2001_03.prn","AM","F3","3",2,1,"by late afternoon",4,1,18
"10Jul2001_03.prn","AM","F3","4",0,0,"null",1,3,0
"10Jul2001_03.prn","AM","F3","4",1,1,"by afternoon",4,1,18
"10Jul2001_15.prn","PM","F4","2",0,0,"null",0,0,-99
"10Jul2001_15.prn","PM","F4","2",1,1,"by midnight",3,1,0
"10Jul2001_15.prn","PM","F4","3",0,0,"null",1,3,6
"10Jul2001_15.prn","PM","F4","3",1,1,"by early afternoon",3,2,12
"10Jul2001_15.prn","PM","F4","3",2,1,"by late evening",2,1,21
"10Jul2001_15.prn","PM","F4","4",0,0,"null",1,3,0
"10Jul2001_15.prn","PM","F4","4",1,1,"by late morning",4,2,12
"10Jul2001_15.prn","PM","F4","4",2,1,"later",2,2,0
"10Mar2001_03.prn","AM","F2","2",0,0,"null",2,2,9
"10Mar2001_03.prn","AM","F2","2",1,0,"null",1,3,0
"10Mar2001_03.prn","AM","F2","3",0,0,"null",3,1,3
"10Mar2001_03.prn","AM","F2","3",1,1,"during afternoon",2,1,18
"10Mar2001_03.prn","AM","F2","3",2,1,"later",0,0,-99
"10Mar2001_03.prn","AM","F2","4",0,0,"null",1,3,3
"10Mar2001_03.prn","AM","F2","4",1,0,"null",1,3,21
"10Mar2001_15.prn","PM","F5","2",0,0,"null",0,0,-99
"10Mar2001_15.prn","PM","F5","2",1,1,"tonight",2,1,3
"10Mar2001_15.prn","PM","F5","3",0,0,"null",1,3,6
"10Mar2001_15.prn","PM","F5","3",1,1,"around midday",3,1,15
"10Mar2001_15.prn","PM","F5","3",2,1,"in evening",1,3,0
"10Mar2001_15.prn","PM","F5","4",0,0,"null",1,3,0
"10Mar2002_04.prn","AM","F4","2",0,0,"null",1,3,6
"10Mar2002_04.prn","AM","F4","3",0,0,"null",1,3,0
"10Mar2002_04.prn","AM","F4","3",1,1,"soon",1,3,3
"10Mar2002_04.prn","AM","F4","3",2,1,"by midday",1,3,12
"10Mar2002_04.prn","AM","F4","3",3,1,"by midnight",2,2,0
"10Mar2002_04.prn","AM","F4","4",0,0,"null",1,3,0
"10Mar2002_04.prn","AM","F4","4",1,1,"soon",3,2,6
"10Mar2002_04.prn","AM","F4","4",2,1,"by mid afternoon",2,2,15
"10Mar2002_04.prn","AM","F4","4",3,1,"by midnight",1,3,0
"10Mar2002_13.prn","PM","F1","2",0,0,"null",1,3,0
"10Mar2002_13.prn","PM","F1","2",1,1,"soon",1,3,21
"10Mar2002_13.prn","PM","F1","2",2,1,"around midnight",1,3,3
"10Mar2002_13.prn","PM","F1","2",3,1,"later",1,3,6
"10Mar2002_13.prn","PM","F1","3",0,0,"null",2,2,6
"10Mar2002_13.prn","PM","F1","3",1,0,"null",1,3,0
"10Mar2002_13.prn","PM","F1","4",0,0,"null",2,1,0
"10Mar2002_13.prn","PM","F1","4",1,1,"by end of period",1,3,0
"10May2001_02.prn","AM","F3","2",0,0,"null",7,1,9
"10May2001_02.prn","AM","F3","2",1,1,"by late afternoon",6,1,18
"10May2001_02.prn","AM","F3","3",0,0,"null",5,2,0
"10May2001_02.prn","AM","F3","3",1,1,"by late evening",3,2,0
"10May2001_02.prn","AM","F3","4",0,0,"null",4,1,0
"10May2001_02.prn","AM","F3","4",1,1,"by evening",2,2,0
"10May2002_03.prn","AM","F3","2",0,0,"null",2,2,6
"10May2002_03.prn","AM","F3","2",1,1,"by evening",3,1,21
"10May2002_03.prn","AM","F3","3",0,0,"null",3,1,3
"10May2002_03.prn","AM","F3","3",1,1,"soon",3,1,3
"10May2002_03.prn","AM","F3","3",2,1,"by mid afternoon",4,1,15
"10May2002_03.prn","AM","F3","3",3,1,"late evening",3,2,0
"10May2002_03.prn","AM","F3","4",0,0,"null",2,2,0
"10May2002_03.prn","AM","F3","4",1,1,"by midday",6,1,12
"10Nov2000_02.prn","AM","F3","2",0,0,"null",4,1,6
"10Nov2000_02.prn","AM","F3","2",1,1,"by evening",1,3,0
"10Nov2000_02.prn","AM","F3","3",0,0,"null",1,3,0
"10Nov2000_02.prn","AM","F3","3",1,1,"by midday",2,2,12
"10Nov2000_02.prn","AM","F3","3",2,1,"later",1,3,0
"10Nov2000_02.prn","AM","F3","4",0,0,"null",1,3,0
"10Nov2000_02.prn","AM","F3","4",2,1,"by afternoon",3,1,18
"10Nov2000_16.prn","PM","F5","2",0,0,"null",1,3,18
"10Nov2000_16.prn","PM","F5","2",1,1,"late in period",0,0,-99
"10Nov2000_16.prn","PM","F5","3",0,0,"null",0,0,-99
"10Nov2000_16.prn","PM","F5","3",1,1,"by midday",0,0,-99
"10Nov2000_16.prn","PM","F5","3",2,1,"in afternoon",0,0,-99
"10Nov2000_16.prn","PM","F5","3",3,1,"later",0,0,-99
"10Nov2000_16.prn","PM","F5","4",0,0,"null",1,3,3
"10Nov2000_16.prn","PM","F5","4",1,0,"null",1,3,0
"10Nov2001_02.prn","AM","F3","2",0,0,"null",3,2,9
"10Nov2001_02.prn","AM","F3","2",1,1,"by evening",2,2,0
"10Nov2001_02.prn","AM","F3","3",0,1,"soon",3,2,6
"10Nov2001_02.prn","AM","F3","3",1,1,"by late evening",1,3,0
"10Nov2001_02.prn","AM","F3","4",0,0,"null",2,2,0
"10Nov2001_02.prn","AM","F3","4",1,1,"soon",7,1,12
"10Nov2001_14.prn","PM","F2","2",0,0,"null",0,0,-99
"10Nov2001_14.prn","PM","F2","2",1,0,"null",2,2,6
"10Nov2001_14.prn","PM","F2","3",0,0,"null",1,3,6
"10Nov2001_14.prn","PM","F2","3",1,0,"null",2,1,21
"10Nov2001_14.prn","PM","F2","4",0,0,"null",1,3,0
"10Nov2001_14.prn","PM","F2","4",1,0,"null",8,1,18
"10Oct2000_02.prn","AM","F4","2",0,0,"null",2,2,6
"10Oct2000_02.prn","AM","F4","2",1,1,"by midnight",1,3,0
"10Oct2000_02.prn","AM","F4","3",0,0,"null",2,2,0
"10Oct2000_02.prn","AM","F4","3",1,1,"soon",1,3,6
"10Oct2000_02.prn","AM","F4","3",2,1,"by midday",3,1,15
"10Oct2000_02.prn","AM","F4","3",3,1,"later",1,3,0
"10Oct2000_02.prn","AM","F4","4",0,0,"null",1,3,0
"10Oct2000_02.prn","AM","F4","4",1,1,"by midday",1,3,12
"10Oct2000_02.prn","AM","F4","4",2,1,"later",1,3,0
"10Oct2000_16.prn","PM","F5","2",0,0,"null",0,0,-99
"10Oct2000_16.prn","PM","F5","2",1,1,"tonight",1,3,3
"10Oct2000_16.prn","PM","F5","3",0,0,"null",0,0,-99
"10Oct2000_16.prn","PM","F5","3",1,1,"in morning",2,2,15
"10Oct2000_16.prn","PM","F5","3",2,1,"in evening",0,0,-99
"10Oct2000_16.prn","PM","F5","4",0,0,"null",0,0,-99
"10Oct2000_16.prn","PM","F5","4",1,1,"soon",2,1,12
"10Oct2000_16.prn","PM","F5","4",2,1,"by evening",5,1,18
"10Oct2001_05.prn","AM","F2","2",0,0,"null",1,3,6
"10Oct2001_05.prn","AM","F2","2",1,1,"soon",0,0,-99
"10Oct2001_05.prn","AM","F2","3",0,0,"null",1,3,3
"10Oct2001_05.prn","AM","F2","3",1,1,"by evening",2,1,18
"10Oct2001_05.prn","AM","F2","3",2,1,"later",1,3,0
"10Oct2001_05.prn","AM","F2","4",0,0,"null",2,2,3
"10Oct2001_05.prn","AM","F2","4",1,1,"during morning",1,3,6
"10Oct2001_05.prn","AM","F2","4",2,1,"by afternoon",3,2,15
"10Oct2001_05.prn","AM","F2","4",3,1,"later",1,3,0
"10Oct2001_14.prn","PM","F1","2",0,0,"null",0,0,-99
"10Oct2001_14.prn","PM","F1","2",1,0,"null",1,3,6
"10Oct2001_14.prn","PM","F1","3",0,0,"null",1,3,6
"10Oct2001_14.prn","PM","F1","3",1,1,"by early afternoon",1,3,15
"10Oct2001_14.prn","PM","F1","3",3,1,"later",1,3,0
"10Oct2001_14.prn","PM","F1","4",0,0,"null",1,3,0
"10Oct2001_14.prn","PM","F1","4",2,1,"later",5,1,21
"10Sep2000_02.prn","AM","F3","2",0,0,"null",2,2,6
"10Sep2000_02.prn","AM","F3","2",1,1,"by late evening",3,2,0
"10Sep2000_02.prn","AM","F3","3",0,0,"null",3,1,0
"10Sep2000_02.prn","AM","F3","3",1,1,"by evening",3,2,0
"10Sep2000_02.prn","AM","F3","4",0,0,"null",1,3,0
"10Sep2000_02.prn","AM","F3","4",1,1,"by midday",4,2,12
"10Sep2000_02.prn","AM","F3","4",2,1,"by evening",2,1,21
"10Sep2000_13.prn","PM","F2","2",0,0,"null",3,2,21
"10Sep2000_13.prn","PM","F2","2",1,0,"null",2,1,0
"10Sep2000_13.prn","PM","F2","3",0,0,"null",0,0,-99
"10Sep2001_02.prn","AM","F2","2",0,0,"null",5,1,6
"10Sep2001_02.prn","AM","F2","2",1,0,"null",1,3,0
"10Sep2001_02.prn","AM","F2","3",0,0,"null",1,3,0
"10Sep2001_02.prn","AM","F2","3",1,1,"soon",1,3,6
"10Sep2001_02.prn","AM","F2","3",2,1,"later",1,3,0
"10Sep2001_02.prn","AM","F2","4",0,0,"null",2,1,0
"10Sep2001_02.prn","AM","F2","4",1,1,"soon",2,1,6
"10Sep2001_02.prn","AM","F2","4",2,1,"later",1,3,0
"10Sep2001_13.prn","PM","F4","2",0,0,"null",2,2,18
"10Sep2001_13.prn","PM","F4","2",1,1,"by end of period",1,3,6
"10Sep2001_13.prn","PM","F4","3",0,0,"null",1,3,6
"10Sep2001_13.prn","PM","F4","3",1,1,"by afternoon",1,3,12
"10Sep2001_13.prn","PM","F4","3",2,1,"by midnight",1,3,0
"10Sep2001_13.prn","PM","F4","4",0,0,"null",2,2,0
"10Sep2001_13.prn","PM","F4","4",1,1,"by midday",2,2,12
"10Sep2001_13.prn","PM","F4","4",2,1,"by late evening",1,3,0
"11Apr2001_02.prn","AM","F3","2",0,0,"null",2,2,6
"11Apr2001_02.prn","AM","F3","2",1,1,"by late afternoon",2,2,18
"11Apr2001_02.prn","AM","F3","2",2,1,"late evening",1,3,0
"11Apr2001_02.prn","AM","F3","3",0,0,"null",3,1,0
"11Apr2001_02.prn","AM","F3","3",1,1,"soon",3,1,3
"11Apr2001_02.prn","AM","F3","3",2,1,"by late evening",2,2,0
"11Apr2001_02.prn","AM","F3","4",0,0,"null",1,3,0
"11Apr2001_02.prn","AM","F3","4",1,1,"soon",1,3,6
"11Apr2001_02.prn","AM","F3","4",2,1,"by late evening",1,3,0
"11Apr2001_14.prn","PM","F4","2",0,0,"null",0,0,-99
"11Apr2001_14.prn","PM","F4","2",1,1,"by late evening",3,1,0
"11Apr2001_14.prn","PM","F4","2",2,1,"by morning",1,3,6
"11Apr2001_14.prn","PM","F4","3",0,0,"null",2,2,6
"11Apr2001_14.prn","PM","F4","3",1,1,"later",1,3,0
"11Apr2001_14.prn","PM","F4","4",0,0,"null",1,3,0
"11Apr2001_14.prn","PM","F4","4",1,1,"by midday",1,3,12
"11Apr2001_14.prn","PM","F4","4",2,1,"by end of period",1,3,0
"11Apr2002_04.prn","AM","F3","2",0,0,"null",3,1,6
"11Apr2002_04.prn","AM","F3","2",1,1,"by midday",2,2,12
"11Apr2002_04.prn","AM","F3","2",2,1,"by mid evening",1,3,21
"11Apr2002_04.prn","AM","F3","2",3,1,"late evening",1,3,0
"11Apr2002_04.prn","AM","F3","3",0,0,"null",2,1,0
"11Apr2002_04.prn","AM","F3","3",1,1,"by midday",3,1,15
"11Apr2002_04.prn","AM","F3","3",2,1,"later",1,3,0
"11Apr2002_04.prn","AM","F3","4",0,0,"null",2,2,0
"11Apr2002_04.prn","AM","F3","4",1,1,"by evening",2,2,0
"11Apr2002_14.prn","PM","F4","2",0,0,"null",1,3,18
"11Apr2002_14.prn","PM","F4","2",2,1,"by morning",1,3,6
"11Apr2002_14.prn","PM","F4","3",0,0,"null",1,3,6
"11Apr2002_14.prn","PM","F4","3",1,1,"by afternoon",2,2,15
"11Apr2002_14.prn","PM","F4","3",2,1,"by end of period",2,2,0
"11Apr2002_14.prn","PM","F4","4",0,0,"null",2,2,0
"11Apr2002_14.prn","PM","F4","4",1,0,"null",2,1,21
"11Aug2000_02.prn","AM","F4","2",0,0,"null",0,0,-99
"11Aug2000_02.prn","AM","F4","2",1,1,"by afternoon",1,3,18
"11Aug2000_02.prn","AM","F4","2",2,1,"by midnight",1,3,0
"11Aug2000_02.prn","AM","F4","3",0,0,"null",1,3,0
"11Aug2000_02.prn","AM","F4","3",1,1,"by midday",3,2,15
"11Aug2000_02.prn","AM","F4","3",2,1,"by midnight",2,2,0
"11Aug2000_02.prn","AM","F4","4",0,0,"null",2,2,0
"11Aug2000_02.prn","AM","F4","4",1,1,"during morning",3,1,9
"11Aug2000_02.prn","AM","F4","4",2,1,"later",2,1,21
"11Aug2000_14.prn","PM","F5","2",0,0,"null",0,0,-99
"11Aug2000_14.prn","PM","F5","2",1,1,"tonight",2,2,3
"11Aug2000_14.prn","PM","F5","3",0,0,"null",2,2,6
"11Aug2000_14.prn","PM","F5","3",1,1,"by midday",2,2,12
"11Aug2000_14.prn","PM","F5","3",2,1,"by evening",3,2,21
"11Aug2000_14.prn","PM","F5","4",0,0,"null",1,3,0
"11Aug2000_14.prn","PM","F5","4",2,1,"later in evening",0,0,-99
"11Aug2001_14.prn","PM","F4","2",0,0,"null",0,0,-99
"11Aug2001_14.prn","PM","F4","2",1,1,"by midnight",2,2,0
"11Aug2001_14.prn","PM","F4","2",2,1,"by early morning",1,3,3
"11Aug2001_14.prn","PM","F4","2",3,1,"later",1,3,6
"11Aug2001_14.prn","PM","F4","3",0,0,"null",2,1,6
"11Aug2001_14.prn","PM","F4","3",1,1,"very soon",1,3,9
"11Aug2001_14.prn","PM","F4","3",2,1,"by mid afternoon",1,3,15
"11Aug2001_14.prn","PM","F4","3",3,1,"later",1,3,0
"11Aug2001_14.prn","PM","F4","4",0,0,"null",1,3,0
"11Aug2001_14.prn","PM","F4","4",1,1,"by midday",2,2,12
"11Aug2001_14.prn","PM","F4","4",2,1,"later",1,3,0
"11Dec2000_14.prn","PM","F5","2",0,0,"null",1,3,18
"11Dec2000_14.prn","PM","F5","2",1,1,"evening",2,2,0
"11Dec2000_14.prn","PM","F5","2",2,1,"later in night",1,3,6
"11Dec2000_14.prn","PM","F5","3",0,0,"null",1,3,6
"11Dec2000_14.prn","PM","F5","3",1,1,"by midday",2,1,12
"11Dec2000_14.prn","PM","F5","3",2,1,"later in evening",1,3,0
"11Dec2000_14.prn","PM","F5","4",0,0,"null",1,3,0
"11Dec2000_14.prn","PM","F5","4",1,1,"by early afternoon",0,0,-99
"11Dec2000_14.prn","PM","F5","4",2,0,"null",1,3,0
"11Feb2002_04.prn","AM","F4","2",1,1,"after noon",1,3,15
"11Feb2002_04.prn","AM","F4","2",2,1,"later",1,3,0
"11Feb2002_04.prn","AM","F4","3",0,0,"null",1,3,0
"11Feb2002_04.prn","AM","F4","3",1,0,"null",5,2,0
"11Feb2002_04.prn","AM","F4","4",0,0,"null",5,1,0
"11Feb2002_04.prn","AM","F4","4",1,1,"from midday",5,1,0
"11Feb2002_04.prn","AM","F4","4",2,1,"by midnight",1,3,0
"11Feb2002_14.prn","PM","F1","2",0,0,"null",0,0,-99
"11Feb2002_14.prn","PM","F1","2",1,1,"by midnight",1,3,0
"11Feb2002_14.prn","PM","F1","2",2,1,"later",1,3,6
"11Feb2002_14.prn","PM","F1","3",0,0,"null",2,2,9
"11Feb2002_14.prn","PM","F1","3",1,0,"null",4,2,18
"11Feb2002_14.prn","PM","F1","4",0,0,"null",2,1,0
"11Feb2002_14.prn","PM","F1","4",1,1,"by evening",1,3,21
"11Feb2002_14.prn","PM","F1","4",2,1,"later",1,3,0
"11Jan2001_13.prn","PM","F4","2",0,0,"null",2,2,18
"11Jan2001_13.prn","PM","F4","2",1,0,"null",1,3,6
"11Jan2001_13.prn","PM","F4","3",0,0,"null",1,3,6
"11Jan2001_13.prn","PM","F4","3",1,1,"by midday",2,2,12
"11Jan2001_13.prn","PM","F4","3",2,1,"by midnight",1,3,0
"11Jan2001_13.prn","PM","F4","4",0,0,"null",3,1,0
"11Jan2001_13.prn","PM","F4","4",1,1,"by midday",4,2,12
"11Jan2001_13.prn","PM","F4","4",2,1,"later",1,3,0
"11Jul2000.prn","AM","F1","2",0,0,"null",0,0,-99
"11Jul2000.prn","AM","F1","3",0,0,"null",2,2,3
"11Jul2000.prn","AM","F1","3",1,1,"by evening",1,3,18
"11Jul2000.prn","AM","F1","3",2,1,"by end of period",0,0,-99
"11Jul2000.prn","AM","F1","4",0,0,"null",4,2,3
"11Jul2000.prn","AM","F1","4",1,1,"by midday",0,0,-99
"11Jul2000.prn","AM","F1","4",3,1,"later",0,0,-99
"11Jul2001_14.prn","PM","F4","2",0,0,"null",0,0,-99
"11Jul2001_14.prn","PM","F4","2",1,1,"by midnight",4,2,21
"11Jul2001_14.prn","PM","F4","3",0,0,"null",1,3,6
"11Jul2001_14.prn","PM","F4","3",1,1,"by end of period",3,1,21
"11Jul2001_14.prn","PM","F4","4",0,0,"null",3,1,0
"11Jul2001_14.prn","PM","F4","4",1,1,"by late morning",5,1,9
"11Jul2001_14.prn","PM","F4","4",2,1,"from early afternoon",5,1,9
"11Jul2001_14.prn","PM","F4","4",3,1,"later",1,3,0
"11Jun2001_10.prn","AM","F3","2",0,0,"null",1,3,6
"11Jun2001_10.prn","AM","F3","2",1,1,"by midday",0,0,-99
"11Jun2001_10.prn","AM","F3","2",2,1,"by evening",3,2,0
"11Jun2001_10.prn","AM","F3","3",0,0,"null",1,3,0
"11Jun2001_10.prn","AM","F3","3",1,1,"soon",4,2,6
"11Jun2001_10.prn","AM","F3","3",3,1,"late afternoon",1,3,18
"11Jun2001_10.prn","AM","F3","3",4,1,"by late evening",1,3,0
"11Jun2001_10.prn","AM","F3","4",0,0,"null",1,3,0
"11Jun2001_10.prn","AM","F3","4",1,1,"by midday",3,1,12
"11Jun2001_10.prn","AM","F3","4",2,1,"by evening",2,1,21
"11Jun2001_13.prn","PM","F2","2",0,0,"null",0,0,-99
"11Jun2001_13.prn","PM","F2","2",1,1,"overnight",1,3,6
"11Jun2001_13.prn","PM","F2","3",0,0,"null",1,3,6
"11Jun2001_13.prn","PM","F2","3",1,1,"by afternoon",2,2,12
"11Jun2001_13.prn","PM","F2","4",0,0,"null",1,3,0
"11Jun2001_13.prn","PM","F2","4",1,1,"soon",2,2,0
"11Mar2001_01.prn","AM","F2","2",0,0,"null",1,3,6
"11Mar2001_01.prn","AM","F2","2",1,1,"by afternoon",1,3,12
"11Mar2001_01.prn","AM","F2","2",2,1,"later",0,0,-99
"11Mar2001_01.prn","AM","F2","3",0,0,"null",0,0,-99
"11Mar2001_01.prn","AM","F2","3",1,1,"during morning",4,1,12
"11Mar2001_01.prn","AM","F2","4",0,0,"null",5,2,15
"11Mar2001_01.prn","AM","F2","4",1,1,"later",2,2,0
"11Mar2002_04.prn","AM","F4","2",0,0,"null",2,2,6
"11Mar2002_04.prn","AM","F4","2",2,1,"later",1,3,0
"11Mar2002_04.prn","AM","F4","3",0,0,"null",1,3,0
"11Mar2002_04.prn","AM","F4","3",1,1,"soon",1,3,6
"11Mar2002_04.prn","AM","F4","3",2,1,"by midday",1,3,12
"11Mar2002_04.prn","AM","F4","3",3,1,"by midnight",1,3,0
"11Mar2002_04.prn","AM","F4","4",0,0,"null",1,3,0
"11Mar2002_04.prn","AM","F4","4",1,1,"by midday",2,1,9
"11Mar2002_04.prn","AM","F4","4",2,1,"by late evening",1,3,0
"11May2001_03.prn","AM","F3","2",0,0,"null",1,3,6
"11May2001_03.prn","AM","F3","2",1,1,"soon",1,3,9
"11May2001_03.prn","AM","F3","2",2,1,"by evening",3,1,21
"11May2001_03.prn","AM","F3","3",0,0,"null",2,2,0
"11May2001_03.prn","AM","F3","4",1,1,"soon",3,2,12
"11May2001_03.prn","AM","F3","4",2,0,"null",4,1,15
"11May2001_13.prn","PM","F4","2",0,0,"null",1,3,18
"11May2001_13.prn","PM","F4","2",1,0,"null",3,2,3
"11May2001_13.prn","PM","F4","3",0,0,"null",1,3,6
"11May2001_13.prn","PM","F4","3",1,1,"soon",3,1,12
"11May2001_13.prn","PM","F4","3",2,1,"later",1,3,0
"11May2001_13.prn","PM","F4","4",0,0,"null",9,2,3
"11May2001_13.prn","PM","F4","4",1,1,"by afternoon",8,2,12
"11Nov2000_02.prn","AM","F3","2",0,0,"null",1,3,6
"11Nov2000_02.prn","AM","F3","2",1,1,"by late afternoon",1,3,18
"11Nov2000_02.prn","AM","F3","2",2,1,"by late evening",2,2,0
"11Nov2000_02.prn","AM","F3","3",0,0,"null",2,2,0
"11Nov2000_02.prn","AM","F3","3",1,0,"null",2,2,0
"11Nov2000_02.prn","AM","F3","4",0,0,"null",1,3,0
"11Nov2000_02.prn","AM","F3","4",1,1,"by midday",2,2,12
"11Nov2000_02.prn","AM","F3","4",2,1,"by late evening",1,3,0
"11Nov2000_15.prn","PM","F5","2",0,0,"null",1,3,18
"11Nov2000_15.prn","PM","F5","2",2,1,"late evening",2,2,3
"11Nov2000_15.prn","PM","F5","2",3,1,"later in night",1,3,6
"11Nov2000_15.prn","PM","F5","3",0,0,"null",3,2,9
